page	event	quadrant	sample_name	position	oscillating_cn_2&3_states	cn_segments	image_path
4	1	Upper_Left	CGP_donor_1691207	3:1488486−168477786	4, 6	15	/Volumes/T7-shield/CS-Bachelor-Thesis/CNN_model/SV_graph.PCAWG/SV_graph.dataset4/page_4_part_1.png
4	2	Upper_Right	CGP_donor_1691211	3:31257334−39452574	3, 6	14	/Volumes/T7-shield/CS-Bachelor-Thesis/CNN_model/SV_graph.PCAWG/SV_graph.dataset4/page_4_part_2.png
4	3	Lower_Left	CGP_donor_1691213	15:65203302−87715328	3, 5	15	/Volumes/T7-shield/CS-Bachelor-Thesis/CNN_model/SV_graph.PCAWG/SV_graph.dataset4/page_4_part_3.png
4	4	Lower_Right	CGP_donor_1691213	16:4989225−89024640	4, 4	18	/Volumes/T7-shield/CS-Bachelor-Thesis/CNN_model/SV_graph.PCAWG/SV_graph.dataset4/page_4_part_4.png
5	1	Upper_Left	CGP_donor_1691214	4:15590720−180978684	4, 8	39	/Volumes/T7-shield/CS-Bachelor-Thesis/CNN_model/SV_graph.PCAWG/SV_graph.dataset4/page_5_part_1.png
5	2	Upper_Right	CGP_donor_1691214	6:9055767−19690465	4, 6	23	/Volumes/T7-shield/CS-Bachelor-Thesis/CNN_model/SV_graph.PCAWG/SV_graph.dataset4/page_5_part_2.png
5	3	Lower_Left	CGP_donor_1691214	10:325730−114451376	3, 5	22	/Volumes/T7-shield/CS-Bachelor-Thesis/CNN_model/SV_graph.PCAWG/SV_graph.dataset4/page_5_part_3.png
5	4	Lower_Right	CGP_donor_1691214	19:7749343−16728218	3, 4	15	/Volumes/T7-shield/CS-Bachelor-Thesis/CNN_model/SV_graph.PCAWG/SV_graph.dataset4/page_5_part_4.png
6	1	Upper_Left	CGP_donor_1234122	11:60702782−76620693	3, 5	11	/Volumes/T7-shield/CS-Bachelor-Thesis/CNN_model/SV_graph.PCAWG/SV_graph.dataset4/page_6_part_1.png
6	2	Upper_Right	CGP_donor_1337223	15:94636392−100772414	3, 4	134	/Volumes/T7-shield/CS-Bachelor-Thesis/CNN_model/SV_graph.PCAWG/SV_graph.dataset4/page_6_part_2.png
6	3	Lower_Left	CGP_donor_1353428	1:51262983−230781288	5, 12	21	/Volumes/T7-shield/CS-Bachelor-Thesis/CNN_model/SV_graph.PCAWG/SV_graph.dataset4/page_6_part_3.png
6	4	Lower_Right	CGP_donor_1353428	2:4213463−239950315	4, 11	20	/Volumes/T7-shield/CS-Bachelor-Thesis/CNN_model/SV_graph.PCAWG/SV_graph.dataset4/page_6_part_4.png
7	1	Upper_Left	CGP_donor_1397260	17:7817380−20103793	3, 4	27	/Volumes/T7-shield/CS-Bachelor-Thesis/CNN_model/SV_graph.PCAWG/SV_graph.dataset4/page_7_part_1.png
7	2	Upper_Right	CGP_donor_1397262	12:30388748−78339897	3, 5	64	/Volumes/T7-shield/CS-Bachelor-Thesis/CNN_model/SV_graph.PCAWG/SV_graph.dataset4/page_7_part_2.png
7	3	Lower_Left	CGP_donor_1397262	17:1009336−47506989	4, 6	13	/Volumes/T7-shield/CS-Bachelor-Thesis/CNN_model/SV_graph.PCAWG/SV_graph.dataset4/page_7_part_3.png
7	4	Lower_Right	CGP_donor_1475200	4:18193195−156811790	3, 6	10	/Volumes/T7-shield/CS-Bachelor-Thesis/CNN_model/SV_graph.PCAWG/SV_graph.dataset4/page_7_part_4.png
8	1	Upper_Left	CGP_donor_1199104	3:73607514−78348970	3, 3	31	/Volumes/T7-shield/CS-Bachelor-Thesis/CNN_model/SV_graph.PCAWG/SV_graph.dataset4/page_8_part_1.png
8	2	Upper_Right	CGP_donor_1199104	21:10850512−47974458	3, 9	52	/Volumes/T7-shield/CS-Bachelor-Thesis/CNN_model/SV_graph.PCAWG/SV_graph.dataset4/page_8_part_2.png
8	3	Lower_Left	CGP_donor_1230722	2:494378−148426165	5, 7	16	/Volumes/T7-shield/CS-Bachelor-Thesis/CNN_model/SV_graph.PCAWG/SV_graph.dataset4/page_8_part_3.png
8	4	Lower_Right	CGP_donor_1230728	19:18555351−28300401	3, 6	47	/Volumes/T7-shield/CS-Bachelor-Thesis/CNN_model/SV_graph.PCAWG/SV_graph.dataset4/page_8_part_4.png
9	1	Upper_Left	CGP_donor_1230785	7:13714514−99103349	5, 10	32	/Volumes/T7-shield/CS-Bachelor-Thesis/CNN_model/SV_graph.PCAWG/SV_graph.dataset4/page_9_part_1.png
9	2	Upper_Right	CGP_donor_1363963	1:8061875−245884972	5, 9	29	/Volumes/T7-shield/CS-Bachelor-Thesis/CNN_model/SV_graph.PCAWG/SV_graph.dataset4/page_9_part_2.png
9	3	Lower_Left	CGP_donor_1363965	2:39603518−216873053	6, 8	20	/Volumes/T7-shield/CS-Bachelor-Thesis/CNN_model/SV_graph.PCAWG/SV_graph.dataset4/page_9_part_3.png
9	4	Lower_Right	CGP_donor_1363969	8:2570153−144678331	4, 6	22	/Volumes/T7-shield/CS-Bachelor-Thesis/CNN_model/SV_graph.PCAWG/SV_graph.dataset4/page_9_part_4.png
10	1	Upper_Left	CGP_donor_1363969	15:49453754−101270859	6, 10	20	/Volumes/T7-shield/CS-Bachelor-Thesis/CNN_model/SV_graph.PCAWG/SV_graph.dataset4/page_10_part_1.png
10	2	Upper_Right	CGP_donor_1410210	2:7281461−220585117	6, 18	22	/Volumes/T7-shield/CS-Bachelor-Thesis/CNN_model/SV_graph.PCAWG/SV_graph.dataset4/page_10_part_2.png
10	3	Lower_Left	CGP_donor_1654385	8:38681577−41303238	3, 6	26	/Volumes/T7-shield/CS-Bachelor-Thesis/CNN_model/SV_graph.PCAWG/SV_graph.dataset4/page_10_part_3.png
10	4	Lower_Right	CGP_donor_1654385	12:397435−2107683	3, 4	23	/Volumes/T7-shield/CS-Bachelor-Thesis/CNN_model/SV_graph.PCAWG/SV_graph.dataset4/page_10_part_4.png
11	1	Upper_Left	05506f4c-e701-4a9d-ae06-97f066aade43	8:58610813−141628750	6, 8	12	/Volumes/T7-shield/CS-Bachelor-Thesis/CNN_model/SV_graph.PCAWG/SV_graph.dataset4/page_11_part_1.png
11	2	Upper_Right	0bc5744c-5fa3-45bb-87d0-70a02068b392	14:39530849−45584134	5, 12	12	/Volumes/T7-shield/CS-Bachelor-Thesis/CNN_model/SV_graph.PCAWG/SV_graph.dataset4/page_11_part_2.png
11	3	Lower_Left	1174f6e4-ffbe-4e59-a000-8d861c968369	12:588242−100462941	4, 5	15	/Volumes/T7-shield/CS-Bachelor-Thesis/CNN_model/SV_graph.PCAWG/SV_graph.dataset4/page_11_part_3.png
11	4	Lower_Right	174850b4-5ec2-462b-a890-89bd1716b3c2	3:3791616−188605871	5, 10	45	/Volumes/T7-shield/CS-Bachelor-Thesis/CNN_model/SV_graph.PCAWG/SV_graph.dataset4/page_11_part_4.png
12	1	Upper_Left	174850b4-5ec2-462b-a890-89bd1716b3c2	4:1872945−179290053	5, 21	43	/Volumes/T7-shield/CS-Bachelor-Thesis/CNN_model/SV_graph.PCAWG/SV_graph.dataset4/page_12_part_1.png
12	2	Upper_Right	441919eb-8c9f-478c-bda3-8de4f8295e8a	7:1396546−142881743	5, 9	37	/Volumes/T7-shield/CS-Bachelor-Thesis/CNN_model/SV_graph.PCAWG/SV_graph.dataset4/page_12_part_2.png
12	3	Lower_Left	441919eb-8c9f-478c-bda3-8de4f8295e8a	19:2541887−11552300	3, 5	30	/Volumes/T7-shield/CS-Bachelor-Thesis/CNN_model/SV_graph.PCAWG/SV_graph.dataset4/page_12_part_3.png
12	4	Lower_Right	4da999a0-ef41-4a0b-b1d1-446b39cc855a	8:35905735−108901612	6, 13	55	/Volumes/T7-shield/CS-Bachelor-Thesis/CNN_model/SV_graph.PCAWG/SV_graph.dataset4/page_12_part_4.png
13	1	Upper_Left	4da999a0-ef41-4a0b-b1d1-446b39cc855a	14:24825314−69059375	4, 4	21	/Volumes/T7-shield/CS-Bachelor-Thesis/CNN_model/SV_graph.PCAWG/SV_graph.dataset4/page_13_part_1.png
13	2	Upper_Right	4da999a0-ef41-4a0b-b1d1-446b39cc855a	19:27734571−41001824	3, 4	36	/Volumes/T7-shield/CS-Bachelor-Thesis/CNN_model/SV_graph.PCAWG/SV_graph.dataset4/page_13_part_2.png
13	3	Lower_Left	65cac997-4d39-4501-85ec-4fcb328a8eb5	17:35339299−80044376	5, 12	27	/Volumes/T7-shield/CS-Bachelor-Thesis/CNN_model/SV_graph.PCAWG/SV_graph.dataset4/page_13_part_3.png
13	4	Lower_Right	65cac997-4d39-4501-85ec-4fcb328a8eb5	19:663441−49460784	5, 12	12	/Volumes/T7-shield/CS-Bachelor-Thesis/CNN_model/SV_graph.PCAWG/SV_graph.dataset4/page_13_part_4.png
14	1	Upper_Left	8cf54607-01ce-42b0-9bd9-8627edd9f3b7	4:39957449−163913725	5, 5	13	/Volumes/T7-shield/CS-Bachelor-Thesis/CNN_model/SV_graph.PCAWG/SV_graph.dataset4/page_14_part_1.png
14	2	Upper_Right	8cf54607-01ce-42b0-9bd9-8627edd9f3b7	13:22850041−105164539	5, 5	23	/Volumes/T7-shield/CS-Bachelor-Thesis/CNN_model/SV_graph.PCAWG/SV_graph.dataset4/page_14_part_2.png
14	3	Lower_Left	a824b3bd-34d5-4cc1-a92f-f9d6ac0f1814	17:27546652−66832010	4, 6	49	/Volumes/T7-shield/CS-Bachelor-Thesis/CNN_model/SV_graph.PCAWG/SV_graph.dataset4/page_14_part_3.png
14	4	Lower_Right	b094e8b2-8ece-4b36-8025-18073a8b873c	16:2501874−90049603	6, 8	41	/Volumes/T7-shield/CS-Bachelor-Thesis/CNN_model/SV_graph.PCAWG/SV_graph.dataset4/page_14_part_4.png
15	1	Upper_Left	b58ad350-5140-4fa8-bc2c-24bca8395f3a	9:4845278−126061906	4, 9	27	/Volumes/T7-shield/CS-Bachelor-Thesis/CNN_model/SV_graph.PCAWG/SV_graph.dataset4/page_15_part_1.png
15	2	Upper_Right	c364e81c-eb1e-4870-ab37-9c661f5f2e3d	17:30926374−38439380	3, 4	27	/Volumes/T7-shield/CS-Bachelor-Thesis/CNN_model/SV_graph.PCAWG/SV_graph.dataset4/page_15_part_2.png
15	3	Lower_Left	ccd4a24b-d8cc-4686-9dee-c98b0c5a8d21	6:16147315−168229735	5, 8	98	/Volumes/T7-shield/CS-Bachelor-Thesis/CNN_model/SV_graph.PCAWG/SV_graph.dataset4/page_15_part_3.png
15	4	Lower_Right	ccd4a24b-d8cc-4686-9dee-c98b0c5a8d21	7:7932046−156250631	6, 10	48	/Volumes/T7-shield/CS-Bachelor-Thesis/CNN_model/SV_graph.PCAWG/SV_graph.dataset4/page_15_part_4.png
16	1	Upper_Left	d2f2560c-ec80-4fea-9474-c47a2e85ea95	3:4264202−194052997	5, 7	31	/Volumes/T7-shield/CS-Bachelor-Thesis/CNN_model/SV_graph.PCAWG/SV_graph.dataset4/page_16_part_1.png
16	2	Upper_Right	d2f2560c-ec80-4fea-9474-c47a2e85ea95	8:6739069−135344822	5, 7	38	/Volumes/T7-shield/CS-Bachelor-Thesis/CNN_model/SV_graph.PCAWG/SV_graph.dataset4/page_16_part_2.png
16	3	Lower_Left	d2f2560c-ec80-4fea-9474-c47a2e85ea95	9:2831150−134547130	4, 12	23	/Volumes/T7-shield/CS-Bachelor-Thesis/CNN_model/SV_graph.PCAWG/SV_graph.dataset4/page_16_part_3.png
16	4	Lower_Right	d3d545b3-457f-4389-821f-704cb24aff7f	1:8159480−247557943	5, 12	67	/Volumes/T7-shield/CS-Bachelor-Thesis/CNN_model/SV_graph.PCAWG/SV_graph.dataset4/page_16_part_4.png
17	1	Upper_Left	d3d545b3-457f-4389-821f-704cb24aff7f	9:3361891−130382427	5, 8	34	/Volumes/T7-shield/CS-Bachelor-Thesis/CNN_model/SV_graph.PCAWG/SV_graph.dataset4/page_17_part_1.png
17	2	Upper_Right	d3d545b3-457f-4389-821f-704cb24aff7f	10:822186−132092700	4, 6	23	/Volumes/T7-shield/CS-Bachelor-Thesis/CNN_model/SV_graph.PCAWG/SV_graph.dataset4/page_17_part_2.png
17	3	Lower_Left	d3d545b3-457f-4389-821f-704cb24aff7f	17:6124848−80125721	4, 9	19	/Volumes/T7-shield/CS-Bachelor-Thesis/CNN_model/SV_graph.PCAWG/SV_graph.dataset4/page_17_part_3.png
17	4	Lower_Right	d67cd793-2931-429a-9084-2f3c4c8be7ad	17:19599977−80954190	3, 4	50	/Volumes/T7-shield/CS-Bachelor-Thesis/CNN_model/SV_graph.PCAWG/SV_graph.dataset4/page_17_part_4.png
18	1	Upper_Left	d67cd793-2931-429a-9084-2f3c4c8be7ad	X:62042944−68767168	3, 4	25	/Volumes/T7-shield/CS-Bachelor-Thesis/CNN_model/SV_graph.PCAWG/SV_graph.dataset4/page_18_part_1.png
18	2	Upper_Right	d8d7a6c2-6427-4f47-968c-6c3affba4617	1:205752472−215774932	4, 6	28	/Volumes/T7-shield/CS-Bachelor-Thesis/CNN_model/SV_graph.PCAWG/SV_graph.dataset4/page_18_part_2.png
18	3	Lower_Left	d8d7a6c2-6427-4f47-968c-6c3affba4617	17:25309656−40138460	3, 4	54	/Volumes/T7-shield/CS-Bachelor-Thesis/CNN_model/SV_graph.PCAWG/SV_graph.dataset4/page_18_part_3.png
18	4	Lower_Right	d9dc3b59-613d-469e-8b4f-6c5a557eb26a	8:6538486−141884919	6, 9	26	/Volumes/T7-shield/CS-Bachelor-Thesis/CNN_model/SV_graph.PCAWG/SV_graph.dataset4/page_18_part_4.png
19	1	Upper_Left	d9dc3b59-613d-469e-8b4f-6c5a557eb26a	10:1642894−126723909	5, 11	22	/Volumes/T7-shield/CS-Bachelor-Thesis/CNN_model/SV_graph.PCAWG/SV_graph.dataset4/page_19_part_1.png
19	2	Upper_Right	e4fc0909-f284-4471-866d-d8967b6adcbc	1:58265896−204819002	5, 18	48	/Volumes/T7-shield/CS-Bachelor-Thesis/CNN_model/SV_graph.PCAWG/SV_graph.dataset4/page_19_part_2.png
19	3	Lower_Left	f0787165-6f58-4d67-b510-928eea2c4882	8:9070962−98658630	3, 7	85	/Volumes/T7-shield/CS-Bachelor-Thesis/CNN_model/SV_graph.PCAWG/SV_graph.dataset4/page_19_part_3.png
19	4	Lower_Right	f0787165-6f58-4d67-b510-928eea2c4882	20:6046983−13783911	4, 5	17	/Volumes/T7-shield/CS-Bachelor-Thesis/CNN_model/SV_graph.PCAWG/SV_graph.dataset4/page_19_part_4.png
20	1	Upper_Left	CGP_donor_1234120	8:17297986−132094568	4, 12	21	/Volumes/T7-shield/CS-Bachelor-Thesis/CNN_model/SV_graph.PCAWG/SV_graph.dataset4/page_20_part_1.png
20	2	Upper_Right	27b05b15-a44b-45ed-a6e3-e7d1ca488ea9	1:8516636−111647232	4, 10	12	/Volumes/T7-shield/CS-Bachelor-Thesis/CNN_model/SV_graph.PCAWG/SV_graph.dataset4/page_20_part_2.png
20	3	Lower_Left	27b05b15-a44b-45ed-a6e3-e7d1ca488ea9	3:124743480−190056561	4, 9	19	/Volumes/T7-shield/CS-Bachelor-Thesis/CNN_model/SV_graph.PCAWG/SV_graph.dataset4/page_20_part_3.png
20	4	Lower_Right	27b05b15-a44b-45ed-a6e3-e7d1ca488ea9	14:100819629−102872968	3, 5	8	/Volumes/T7-shield/CS-Bachelor-Thesis/CNN_model/SV_graph.PCAWG/SV_graph.dataset4/page_20_part_4.png
21	1	Upper_Left	17dffffc-65d6-4209-9075-18a441001f0f	12:57486350−69728850	3, 6	39	/Volumes/T7-shield/CS-Bachelor-Thesis/CNN_model/SV_graph.PCAWG/SV_graph.dataset4/page_21_part_1.png
21	2	Upper_Right	2f4a127f-101a-4192-b3e8-f9be2c8648bc	7:54947532−55768719	3, 3	10	/Volumes/T7-shield/CS-Bachelor-Thesis/CNN_model/SV_graph.PCAWG/SV_graph.dataset4/page_21_part_2.png
21	3	Lower_Left	5c984433-33cf-42fc-b3ba-511efcdcab19	7:54304614−56720043	3, 4	40	/Volumes/T7-shield/CS-Bachelor-Thesis/CNN_model/SV_graph.PCAWG/SV_graph.dataset4/page_21_part_3.png
21	4	Lower_Right	c184c3ca-7ad3-4202-b108-cb9fd5f5d947	12:57802243−59971140	3, 5	48	/Volumes/T7-shield/CS-Bachelor-Thesis/CNN_model/SV_graph.PCAWG/SV_graph.dataset4/page_21_part_4.png
22	1	Upper_Left	ICGC_MB6	2:15710236−18049954	3, 5	58	/Volumes/T7-shield/CS-Bachelor-Thesis/CNN_model/SV_graph.PCAWG/SV_graph.dataset4/page_22_part_1.png
22	2	Upper_Right	74a0264d-1d31-430d-9a88-e7334c8aa96c	6:28351517−161800031	3, 4	5	/Volumes/T7-shield/CS-Bachelor-Thesis/CNN_model/SV_graph.PCAWG/SV_graph.dataset4/page_22_part_2.png
22	3	Lower_Left	bfb07784-693b-4c25-874e-4ad6e04a5d46	1:4906911−246471750	5, 9	9	/Volumes/T7-shield/CS-Bachelor-Thesis/CNN_model/SV_graph.PCAWG/SV_graph.dataset4/page_22_part_3.png
22	4	Lower_Right	OCCAMS-AH-082	5:12699681−171707953	6, 10	32	/Volumes/T7-shield/CS-Bachelor-Thesis/CNN_model/SV_graph.PCAWG/SV_graph.dataset4/page_22_part_4.png
23	1	Upper_Left	OCCAMS-AH-091	6:97713679−170207401	3, 5	21	/Volumes/T7-shield/CS-Bachelor-Thesis/CNN_model/SV_graph.PCAWG/SV_graph.dataset4/page_23_part_1.png
23	2	Upper_Right	OCCAMS-AH-131	6:38358441−42273299	3, 3	18	/Volumes/T7-shield/CS-Bachelor-Thesis/CNN_model/SV_graph.PCAWG/SV_graph.dataset4/page_23_part_2.png
23	3	Lower_Left	OCCAMS-AH-143	2:32444154−234479820	5, 9	41	/Volumes/T7-shield/CS-Bachelor-Thesis/CNN_model/SV_graph.PCAWG/SV_graph.dataset4/page_23_part_3.png
23	4	Lower_Right	OCCAMS-AH-173	3:8692850−196904619	6, 20	31	/Volumes/T7-shield/CS-Bachelor-Thesis/CNN_model/SV_graph.PCAWG/SV_graph.dataset4/page_23_part_4.png
24	1	Upper_Left	OCCAMS-AH-174	1:3155456−224383077	6, 8	28	/Volumes/T7-shield/CS-Bachelor-Thesis/CNN_model/SV_graph.PCAWG/SV_graph.dataset4/page_24_part_1.png
24	2	Upper_Right	OCCAMS-AH-174	13:33722637−35237034	3, 4	13	/Volumes/T7-shield/CS-Bachelor-Thesis/CNN_model/SV_graph.PCAWG/SV_graph.dataset4/page_24_part_2.png
24	3	Lower_Left	OCCAMS-AH-182	8:100807746−131632357	3, 4	44	/Volumes/T7-shield/CS-Bachelor-Thesis/CNN_model/SV_graph.PCAWG/SV_graph.dataset4/page_24_part_3.png
24	4	Lower_Right	OCCAMS-AH-213	8:2853805−22205777	3, 5	39	/Volumes/T7-shield/CS-Bachelor-Thesis/CNN_model/SV_graph.PCAWG/SV_graph.dataset4/page_24_part_4.png
25	1	Upper_Left	OCCAMS-PS-001	12:51638579−74896840	3, 3	25	/Volumes/T7-shield/CS-Bachelor-Thesis/CNN_model/SV_graph.PCAWG/SV_graph.dataset4/page_25_part_1.png
25	2	Upper_Right	OCCAMS-RS-035	20:10433007−22586479	3, 5	26	/Volumes/T7-shield/CS-Bachelor-Thesis/CNN_model/SV_graph.PCAWG/SV_graph.dataset4/page_25_part_2.png
25	3	Lower_Left	OCCAMS-RS-047	11:66812374−111289396	5, 6	31	/Volumes/T7-shield/CS-Bachelor-Thesis/CNN_model/SV_graph.PCAWG/SV_graph.dataset4/page_25_part_3.png
25	4	Lower_Right	OCCAMS-SH-020	3:168692440−170511890	3, 4	19	/Volumes/T7-shield/CS-Bachelor-Thesis/CNN_model/SV_graph.PCAWG/SV_graph.dataset4/page_25_part_4.png
26	1	Upper_Left	OCCAMS-WG-009	3:5019418−175187404	6, 20	46	/Volumes/T7-shield/CS-Bachelor-Thesis/CNN_model/SV_graph.PCAWG/SV_graph.dataset4/page_26_part_1.png
26	2	Upper_Right	OCCAMS-WG-009	7:1524679−156742340	5, 16	41	/Volumes/T7-shield/CS-Bachelor-Thesis/CNN_model/SV_graph.PCAWG/SV_graph.dataset4/page_26_part_2.png
26	3	Lower_Left	OCCAMS-WG-009	22:24447127−50708748	4, 7	24	/Volumes/T7-shield/CS-Bachelor-Thesis/CNN_model/SV_graph.PCAWG/SV_graph.dataset4/page_26_part_3.png
26	4	Lower_Right	OCCAMS-ZZ-019	4:15934512−138883629	3, 9	13	/Volumes/T7-shield/CS-Bachelor-Thesis/CNN_model/SV_graph.PCAWG/SV_graph.dataset4/page_26_part_4.png
27	1	Upper_Left	3e5f451a-5882-4914-ae1a-95c898c2bcca	5:42823466−129917634	4, 13	24	/Volumes/T7-shield/CS-Bachelor-Thesis/CNN_model/SV_graph.PCAWG/SV_graph.dataset4/page_27_part_1.png
27	2	Upper_Right	3e5f451a-5882-4914-ae1a-95c898c2bcca	7:46513922−57877590	3, 4	42	/Volumes/T7-shield/CS-Bachelor-Thesis/CNN_model/SV_graph.PCAWG/SV_graph.dataset4/page_27_part_2.png
27	3	Lower_Left	3e5f451a-5882-4914-ae1a-95c898c2bcca	11:31037993−36019692	3, 3	29	/Volumes/T7-shield/CS-Bachelor-Thesis/CNN_model/SV_graph.PCAWG/SV_graph.dataset4/page_27_part_3.png
27	4	Lower_Right	ad6c9d09-2c03-4786-a72d-dd2aa5f603d4	11:14499146−103309486	6, 6	26	/Volumes/T7-shield/CS-Bachelor-Thesis/CNN_model/SV_graph.PCAWG/SV_graph.dataset4/page_27_part_4.png
28	1	Upper_Left	d7641ca1-a062-4dd2-9414-447af7311a84	X:12009105−46643912	3, 4	14	/Volumes/T7-shield/CS-Bachelor-Thesis/CNN_model/SV_graph.PCAWG/SV_graph.dataset4/page_28_part_1.png
28	2	Upper_Right	d89b1fd6-bef4-4803-8ed3-3b442be600b6	12:39664500−116679872	4, 5	9	/Volumes/T7-shield/CS-Bachelor-Thesis/CNN_model/SV_graph.PCAWG/SV_graph.dataset4/page_28_part_2.png
28	3	Lower_Left	d89b1fd6-bef4-4803-8ed3-3b442be600b6	17:33134735−38151504	3, 3	11	/Volumes/T7-shield/CS-Bachelor-Thesis/CNN_model/SV_graph.PCAWG/SV_graph.dataset4/page_28_part_3.png
28	4	Lower_Right	e303b8c4-6428-4134-bb9d-a95dc1d8e35e	11:68346390−103142549	3, 6	61	/Volumes/T7-shield/CS-Bachelor-Thesis/CNN_model/SV_graph.PCAWG/SV_graph.dataset4/page_28_part_4.png
29	1	Upper_Left	70e306ee-9584-49d6-81a1-a49d837ab6aa	5:7407698−17053089	3, 8	8	/Volumes/T7-shield/CS-Bachelor-Thesis/CNN_model/SV_graph.PCAWG/SV_graph.dataset4/page_29_part_1.png
29	2	Upper_Right	83b3060c-2449-4581-88ef-817d126e4525	5:784281−86129942	3, 4	6	/Volumes/T7-shield/CS-Bachelor-Thesis/CNN_model/SV_graph.PCAWG/SV_graph.dataset4/page_29_part_2.png
29	3	Lower_Left	1987b453-f97d-45c7-9c89-b9a33313d645	6:5868963−162834996	5, 16	16	/Volumes/T7-shield/CS-Bachelor-Thesis/CNN_model/SV_graph.PCAWG/SV_graph.dataset4/page_29_part_3.png
29	4	Lower_Right	3acf7438-fd65-442c-8a30-68b6714537f3	19:9401647−23672451	3, 4	23	/Volumes/T7-shield/CS-Bachelor-Thesis/CNN_model/SV_graph.PCAWG/SV_graph.dataset4/page_29_part_4.png
30	1	Upper_Left	4bbdbe77-f3cb-4b64-9826-72debb734784	6:36997592−43940332	3, 4	8	/Volumes/T7-shield/CS-Bachelor-Thesis/CNN_model/SV_graph.PCAWG/SV_graph.dataset4/page_30_part_1.png
30	2	Upper_Right	52292ffc-0902-4d97-b461-20723987a177	8:66967723−69160044	3, 5	15	/Volumes/T7-shield/CS-Bachelor-Thesis/CNN_model/SV_graph.PCAWG/SV_graph.dataset4/page_30_part_2.png
30	3	Lower_Left	b865dec4-f051-4fbe-9405-f832ff2010d7	17:31353361−66122826	3, 3	35	/Volumes/T7-shield/CS-Bachelor-Thesis/CNN_model/SV_graph.PCAWG/SV_graph.dataset4/page_30_part_3.png
30	4	Lower_Right	ee63c44b-91f4-4004-8dea-192eab527036	1:17700321−53826709	6, 9	28	/Volumes/T7-shield/CS-Bachelor-Thesis/CNN_model/SV_graph.PCAWG/SV_graph.dataset4/page_30_part_4.png
31	1	Upper_Left	ee63c44b-91f4-4004-8dea-192eab527036	11:781704−129805938	5, 7	27	/Volumes/T7-shield/CS-Bachelor-Thesis/CNN_model/SV_graph.PCAWG/SV_graph.dataset4/page_31_part_1.png
31	2	Upper_Right	ee63c44b-91f4-4004-8dea-192eab527036	12:6457439−132375237	6, 7	29	/Volumes/T7-shield/CS-Bachelor-Thesis/CNN_model/SV_graph.PCAWG/SV_graph.dataset4/page_31_part_2.png
31	3	Lower_Left	HX25	19:19448037−22206921	3, 6	14	/Volumes/T7-shield/CS-Bachelor-Thesis/CNN_model/SV_graph.PCAWG/SV_graph.dataset4/page_31_part_3.png
