page	event	quadrant	sample_name	position	oscillating_cn_2&3_states	cn_segments	image_path
4	3	Lower_Left	CGP_donor_1691217	19:43092652−56632954	7, 7	10.0	/Volumes/T7-shield/CS-Bachelor-Thesis/CNN_model/SV_graph.PCAWG/SV_graph.dataset3/page_4_part_3.png
4	4	Lower_Right	CGP_donor_1232859	8:91550520−101047671	7, 12	12.0	/Volumes/T7-shield/CS-Bachelor-Thesis/CNN_model/SV_graph.PCAWG/SV_graph.dataset3/page_4_part_4.png
5	1	Upper_Left	CGP_donor_1333048	4:22856554−121362620	11, 14	14.0	/Volumes/T7-shield/CS-Bachelor-Thesis/CNN_model/SV_graph.PCAWG/SV_graph.dataset3/page_5_part_1.png
5	2	Upper_Right	CGP_donor_1347742	3:25050231−162503837	9, 11	11.0	/Volumes/T7-shield/CS-Bachelor-Thesis/CNN_model/SV_graph.PCAWG/SV_graph.dataset3/page_5_part_2.png
5	3	Lower_Left	CGP_donor_1347751	1:1174539−247054567	38, 50	50.0	/Volumes/T7-shield/CS-Bachelor-Thesis/CNN_model/SV_graph.PCAWG/SV_graph.dataset3/page_5_part_3.png
5	4	Lower_Right	CGP_donor_1347751	2:11684173−217099835	30, 56	56.0	/Volumes/T7-shield/CS-Bachelor-Thesis/CNN_model/SV_graph.PCAWG/SV_graph.dataset3/page_5_part_4.png
6	1	Upper_Left	CGP_donor_1347751	3:2964392−195733210	9, 25	27.0	/Volumes/T7-shield/CS-Bachelor-Thesis/CNN_model/SV_graph.PCAWG/SV_graph.dataset3/page_6_part_1.png
6	2	Upper_Right	CGP_donor_1347751	7:63018209−154939154	16, 20	20.0	/Volumes/T7-shield/CS-Bachelor-Thesis/CNN_model/SV_graph.PCAWG/SV_graph.dataset3/page_6_part_2.png
6	3	Lower_Left	CGP_donor_1347751	15:34326314−93601501	13, 19	19.0	/Volumes/T7-shield/CS-Bachelor-Thesis/CNN_model/SV_graph.PCAWG/SV_graph.dataset3/page_6_part_3.png
6	4	Lower_Right	CGP_donor_1347751	16:1073804−87928916	10, 19	19.0	/Volumes/T7-shield/CS-Bachelor-Thesis/CNN_model/SV_graph.PCAWG/SV_graph.dataset3/page_6_part_4.png
7	1	Upper_Left	CGP_donor_1347751	20:11282201−60847010	8, 8	8.0	/Volumes/T7-shield/CS-Bachelor-Thesis/CNN_model/SV_graph.PCAWG/SV_graph.dataset3/page_7_part_1.png
7	2	Upper_Right	CGP_donor_1353427	6:100548524−101591934	7, 7	11.0	/Volumes/T7-shield/CS-Bachelor-Thesis/CNN_model/SV_graph.PCAWG/SV_graph.dataset3/page_7_part_2.png
7	3	Lower_Left	CGP_donor_1353434	6:104620681−144195202	5, 5	5.0	/Volumes/T7-shield/CS-Bachelor-Thesis/CNN_model/SV_graph.PCAWG/SV_graph.dataset3/page_7_part_3.png
7	4	Lower_Right	CGP_donor_1364033	2:2226914−240877127	7, 12	12.0	/Volumes/T7-shield/CS-Bachelor-Thesis/CNN_model/SV_graph.PCAWG/SV_graph.dataset3/page_7_part_4.png
8	1	Upper_Left	CGP_donor_1397278	2:22430768−219287015	9, 21	23.0	/Volumes/T7-shield/CS-Bachelor-Thesis/CNN_model/SV_graph.PCAWG/SV_graph.dataset3/page_8_part_1.png
8	2	Upper_Right	CGP_donor_1397278	7:5041125−108355553	16, 16	16.0	/Volumes/T7-shield/CS-Bachelor-Thesis/CNN_model/SV_graph.PCAWG/SV_graph.dataset3/page_8_part_2.png
8	3	Lower_Left	CGP_donor_1397278	15:33060156−81482186	8, 13	13.0	/Volumes/T7-shield/CS-Bachelor-Thesis/CNN_model/SV_graph.PCAWG/SV_graph.dataset3/page_8_part_3.png
8	4	Lower_Right	CGP_donor_1397278	X:12671854−155005826	7, 9	9.0	/Volumes/T7-shield/CS-Bachelor-Thesis/CNN_model/SV_graph.PCAWG/SV_graph.dataset3/page_8_part_4.png
9	1	Upper_Left	CGP_donor_1475200	2:81350895−234457223	7, 12	14.0	/Volumes/T7-shield/CS-Bachelor-Thesis/CNN_model/SV_graph.PCAWG/SV_graph.dataset3/page_9_part_1.png
9	2	Upper_Right	CGP_donor_1069291	2:30546371−228922869	9, 9	22.0	/Volumes/T7-shield/CS-Bachelor-Thesis/CNN_model/SV_graph.PCAWG/SV_graph.dataset3/page_9_part_2.png
9	3	Lower_Left	CGP_donor_1069291	14:23497943−75621029	10, 14	14.0	/Volumes/T7-shield/CS-Bachelor-Thesis/CNN_model/SV_graph.PCAWG/SV_graph.dataset3/page_9_part_3.png
9	4	Lower_Right	CGP_donor_1167079	6:6984465−157517645	10, 13	13.0	/Volumes/T7-shield/CS-Bachelor-Thesis/CNN_model/SV_graph.PCAWG/SV_graph.dataset3/page_9_part_4.png
10	1	Upper_Left	CGP_donor_1199138	6:146079326−157043927	8, 11	11.0	/Volumes/T7-shield/CS-Bachelor-Thesis/CNN_model/SV_graph.PCAWG/SV_graph.dataset3/page_10_part_1.png
10	2	Upper_Right	CGP_donor_1230785	1:10186027−116894133	11, 15	32.0	/Volumes/T7-shield/CS-Bachelor-Thesis/CNN_model/SV_graph.PCAWG/SV_graph.dataset3/page_10_part_2.png
10	3	Lower_Left	CGP_donor_1347745	6:22611379−97921915	7, 8	30.0	/Volumes/T7-shield/CS-Bachelor-Thesis/CNN_model/SV_graph.PCAWG/SV_graph.dataset3/page_10_part_3.png
10	4	Lower_Right	CGP_donor_1353432	18:20297595−48213819	5, 7	12.0	/Volumes/T7-shield/CS-Bachelor-Thesis/CNN_model/SV_graph.PCAWG/SV_graph.dataset3/page_10_part_4.png
11	1	Upper_Left	CGP_donor_1353432	20:34182540−35338513	4, 5	13.0	/Volumes/T7-shield/CS-Bachelor-Thesis/CNN_model/SV_graph.PCAWG/SV_graph.dataset3/page_11_part_1.png
11	2	Upper_Right	CGP_donor_1363969	1:20593050−248597403	8, 9	59.0	/Volumes/T7-shield/CS-Bachelor-Thesis/CNN_model/SV_graph.PCAWG/SV_graph.dataset3/page_11_part_2.png
11	3	Lower_Left	CGP_donor_1374619	6:12789227−162322086	13, 15	18.0	/Volumes/T7-shield/CS-Bachelor-Thesis/CNN_model/SV_graph.PCAWG/SV_graph.dataset3/page_11_part_3.png
11	4	Lower_Right	CGP_donor_1410205	3:7876202−196628059	8, 9	20.0	/Volumes/T7-shield/CS-Bachelor-Thesis/CNN_model/SV_graph.PCAWG/SV_graph.dataset3/page_11_part_4.png
12	1	Upper_Left	CGP_donor_1410205	7:6389159−157049440	7, 15	15.0	/Volumes/T7-shield/CS-Bachelor-Thesis/CNN_model/SV_graph.PCAWG/SV_graph.dataset3/page_12_part_1.png
12	2	Upper_Right	CGP_donor_1410210	11:2846968−112273249	9, 21	37.0	/Volumes/T7-shield/CS-Bachelor-Thesis/CNN_model/SV_graph.PCAWG/SV_graph.dataset3/page_12_part_2.png
12	3	Lower_Left	CGP_donor_1410210	12:972252−79594700	7, 7	11.0	/Volumes/T7-shield/CS-Bachelor-Thesis/CNN_model/SV_graph.PCAWG/SV_graph.dataset3/page_12_part_3.png
12	4	Lower_Right	CGP_donor_1472394	4:19561889−181450628	7, 23	23.0	/Volumes/T7-shield/CS-Bachelor-Thesis/CNN_model/SV_graph.PCAWG/SV_graph.dataset3/page_12_part_4.png
13	1	Upper_Left	CGP_donor_1472394	5:31416901−59923452	10, 10	10.0	/Volumes/T7-shield/CS-Bachelor-Thesis/CNN_model/SV_graph.PCAWG/SV_graph.dataset3/page_13_part_1.png
13	2	Upper_Right	CGP_donor_1472394	6:4012667−165902670	11, 11	11.0	/Volumes/T7-shield/CS-Bachelor-Thesis/CNN_model/SV_graph.PCAWG/SV_graph.dataset3/page_13_part_2.png
13	3	Lower_Left	CGP_donor_1472395	5:161143076−169493045	10, 14	15.0	/Volumes/T7-shield/CS-Bachelor-Thesis/CNN_model/SV_graph.PCAWG/SV_graph.dataset3/page_13_part_3.png
13	4	Lower_Right	05506f4c-e701-4a9d-ae06-97f066aade43	11:8956771−130101571	15, 15	24.0	/Volumes/T7-shield/CS-Bachelor-Thesis/CNN_model/SV_graph.PCAWG/SV_graph.dataset3/page_13_part_4.png
14	1	Upper_Left	05506f4c-e701-4a9d-ae06-97f066aade43	12:8551694−125253036	13, 31	31.0	/Volumes/T7-shield/CS-Bachelor-Thesis/CNN_model/SV_graph.PCAWG/SV_graph.dataset3/page_14_part_1.png
14	2	Upper_Right	05506f4c-e701-4a9d-ae06-97f066aade43	17:7564505−56539923	9, 14	23.0	/Volumes/T7-shield/CS-Bachelor-Thesis/CNN_model/SV_graph.PCAWG/SV_graph.dataset3/page_14_part_2.png
14	3	Lower_Left	05506f4c-e701-4a9d-ae06-97f066aade43	21:18301501−38211721	12, 12	12.0	/Volumes/T7-shield/CS-Bachelor-Thesis/CNN_model/SV_graph.PCAWG/SV_graph.dataset3/page_14_part_3.png
14	4	Lower_Right	0dca98b0-f43e-45b6-9a02-00092c78678c	3:4014626−181407638	8, 8	43.0	/Volumes/T7-shield/CS-Bachelor-Thesis/CNN_model/SV_graph.PCAWG/SV_graph.dataset3/page_14_part_4.png
15	1	Upper_Left	0dca98b0-f43e-45b6-9a02-00092c78678c	22:30225731−42768139	7, 12	12.0	/Volumes/T7-shield/CS-Bachelor-Thesis/CNN_model/SV_graph.PCAWG/SV_graph.dataset3/page_15_part_1.png
15	2	Upper_Right	1557183c-aedd-4df6-b98a-3654667f7b69	14:23971383−48794055	10, 13	17.0	/Volumes/T7-shield/CS-Bachelor-Thesis/CNN_model/SV_graph.PCAWG/SV_graph.dataset3/page_15_part_2.png
15	3	Lower_Left	174850b4-5ec2-462b-a890-89bd1716b3c2	1:2158692−242947867	8, 11	29.0	/Volumes/T7-shield/CS-Bachelor-Thesis/CNN_model/SV_graph.PCAWG/SV_graph.dataset3/page_15_part_3.png
15	4	Lower_Right	174850b4-5ec2-462b-a890-89bd1716b3c2	2:25587490−225396473	11, 11	46.0	/Volumes/T7-shield/CS-Bachelor-Thesis/CNN_model/SV_graph.PCAWG/SV_graph.dataset3/page_15_part_4.png
16	1	Upper_Left	18eb4dfc-556f-4bf3-a411-4780209ed1e0	6:1006535−165186446	7, 10	23.0	/Volumes/T7-shield/CS-Bachelor-Thesis/CNN_model/SV_graph.PCAWG/SV_graph.dataset3/page_16_part_1.png
16	2	Upper_Right	2a84997d-ccee-4f46-bea2-752534f26416	3:4487143−195190136	11, 15	89.0	/Volumes/T7-shield/CS-Bachelor-Thesis/CNN_model/SV_graph.PCAWG/SV_graph.dataset3/page_16_part_2.png
16	3	Lower_Left	2a84997d-ccee-4f46-bea2-752534f26416	4:1211134−170990779	7, 21	37.0	/Volumes/T7-shield/CS-Bachelor-Thesis/CNN_model/SV_graph.PCAWG/SV_graph.dataset3/page_16_part_3.png
16	4	Lower_Right	2a84997d-ccee-4f46-bea2-752534f26416	8:17394507−100542792	10, 16	16.0	/Volumes/T7-shield/CS-Bachelor-Thesis/CNN_model/SV_graph.PCAWG/SV_graph.dataset3/page_16_part_4.png
17	1	Upper_Left	2a84997d-ccee-4f46-bea2-752534f26416	11:16375267−126235971	7, 29	29.0	/Volumes/T7-shield/CS-Bachelor-Thesis/CNN_model/SV_graph.PCAWG/SV_graph.dataset3/page_17_part_1.png
17	2	Upper_Right	2a84997d-ccee-4f46-bea2-752534f26416	13:23906490−101146717	14, 20	20.0	/Volumes/T7-shield/CS-Bachelor-Thesis/CNN_model/SV_graph.PCAWG/SV_graph.dataset3/page_17_part_2.png
17	3	Lower_Left	2a84997d-ccee-4f46-bea2-752534f26416	16:148109−89946753	7, 28	39.0	/Volumes/T7-shield/CS-Bachelor-Thesis/CNN_model/SV_graph.PCAWG/SV_graph.dataset3/page_17_part_3.png
17	4	Lower_Right	2a84997d-ccee-4f46-bea2-752534f26416	X:2221350−153108115	23, 23	28.0	/Volumes/T7-shield/CS-Bachelor-Thesis/CNN_model/SV_graph.PCAWG/SV_graph.dataset3/page_17_part_4.png
18	1	Upper_Left	441919eb-8c9f-478c-bda3-8de4f8295e8a	3:3385898−154169466	7, 9	31.0	/Volumes/T7-shield/CS-Bachelor-Thesis/CNN_model/SV_graph.PCAWG/SV_graph.dataset3/page_18_part_1.png
18	2	Upper_Right	441919eb-8c9f-478c-bda3-8de4f8295e8a	6:6025768−153367099	7, 19	26.0	/Volumes/T7-shield/CS-Bachelor-Thesis/CNN_model/SV_graph.PCAWG/SV_graph.dataset3/page_18_part_2.png
18	3	Lower_Left	441919eb-8c9f-478c-bda3-8de4f8295e8a	8:1680713−143764779	7, 8	56.0	/Volumes/T7-shield/CS-Bachelor-Thesis/CNN_model/SV_graph.PCAWG/SV_graph.dataset3/page_18_part_3.png
18	4	Lower_Right	5ed024e8-d05e-4c65-9441-eda9930ccc82	2:2340260−239159179	14, 24	47.0	/Volumes/T7-shield/CS-Bachelor-Thesis/CNN_model/SV_graph.PCAWG/SV_graph.dataset3/page_18_part_4.png
19	1	Upper_Left	5ed024e8-d05e-4c65-9441-eda9930ccc82	5:3827801−176614919	28, 39	39.0	/Volumes/T7-shield/CS-Bachelor-Thesis/CNN_model/SV_graph.PCAWG/SV_graph.dataset3/page_19_part_1.png
19	2	Upper_Right	5ed024e8-d05e-4c65-9441-eda9930ccc82	9:66454886−110368911	8, 8	14.0	/Volumes/T7-shield/CS-Bachelor-Thesis/CNN_model/SV_graph.PCAWG/SV_graph.dataset3/page_19_part_2.png
19	3	Lower_Left	5ed024e8-d05e-4c65-9441-eda9930ccc82	11:34123374−49526843	4, 5	23.0	/Volumes/T7-shield/CS-Bachelor-Thesis/CNN_model/SV_graph.PCAWG/SV_graph.dataset3/page_19_part_3.png
19	4	Lower_Right	5ed024e8-d05e-4c65-9441-eda9930ccc82	12:1602975−124219176	11, 21	21.0	/Volumes/T7-shield/CS-Bachelor-Thesis/CNN_model/SV_graph.PCAWG/SV_graph.dataset3/page_19_part_4.png
20	1	Upper_Left	5ed024e8-d05e-4c65-9441-eda9930ccc82	14:32732923−74134194	8, 8	8.0	/Volumes/T7-shield/CS-Bachelor-Thesis/CNN_model/SV_graph.PCAWG/SV_graph.dataset3/page_20_part_1.png
20	2	Upper_Right	5ed024e8-d05e-4c65-9441-eda9930ccc82	15:43723632−62360621	5, 5	12.0	/Volumes/T7-shield/CS-Bachelor-Thesis/CNN_model/SV_graph.PCAWG/SV_graph.dataset3/page_20_part_2.png
20	3	Lower_Left	5ed024e8-d05e-4c65-9441-eda9930ccc82	16:421761−85786009	17, 17	17.0	/Volumes/T7-shield/CS-Bachelor-Thesis/CNN_model/SV_graph.PCAWG/SV_graph.dataset3/page_20_part_3.png
20	4	Lower_Right	5ed024e8-d05e-4c65-9441-eda9930ccc82	17:26864514−75974296	7, 11	20.0	/Volumes/T7-shield/CS-Bachelor-Thesis/CNN_model/SV_graph.PCAWG/SV_graph.dataset3/page_20_part_4.png
21	1	Upper_Left	5ed024e8-d05e-4c65-9441-eda9930ccc82	19:998026−47861482	8, 15	21.0	/Volumes/T7-shield/CS-Bachelor-Thesis/CNN_model/SV_graph.PCAWG/SV_graph.dataset3/page_21_part_1.png
21	2	Upper_Right	5ed024e8-d05e-4c65-9441-eda9930ccc82	20:25612239−58105683	7, 11	11.0	/Volumes/T7-shield/CS-Bachelor-Thesis/CNN_model/SV_graph.PCAWG/SV_graph.dataset3/page_21_part_2.png
21	3	Lower_Left	65cac997-4d39-4501-85ec-4fcb328a8eb5	1:149881190−243814704	7, 12	36.0	/Volumes/T7-shield/CS-Bachelor-Thesis/CNN_model/SV_graph.PCAWG/SV_graph.dataset3/page_21_part_3.png
21	4	Lower_Right	65cac997-4d39-4501-85ec-4fcb328a8eb5	6:1730813−139089485	13, 19	21.0	/Volumes/T7-shield/CS-Bachelor-Thesis/CNN_model/SV_graph.PCAWG/SV_graph.dataset3/page_21_part_4.png
22	1	Upper_Left	65cac997-4d39-4501-85ec-4fcb328a8eb5	7:95697844−156942103	7, 10	18.0	/Volumes/T7-shield/CS-Bachelor-Thesis/CNN_model/SV_graph.PCAWG/SV_graph.dataset3/page_22_part_1.png
22	2	Upper_Right	6956473b-92e5-4069-a26b-b48e280e76f2	8:127655333−142568575	4, 6	6.0	/Volumes/T7-shield/CS-Bachelor-Thesis/CNN_model/SV_graph.PCAWG/SV_graph.dataset3/page_22_part_2.png
22	3	Lower_Left	7861a5f2-8910-4bcb-9c34-f79c5acd6e21	8:107480527−115223161	4, 7	32.0	/Volumes/T7-shield/CS-Bachelor-Thesis/CNN_model/SV_graph.PCAWG/SV_graph.dataset3/page_22_part_3.png
22	4	Lower_Right	786e8dbe-442e-4551-87b3-b4c333b04dd4	3:5449076−156876693	4, 6	44.0	/Volumes/T7-shield/CS-Bachelor-Thesis/CNN_model/SV_graph.PCAWG/SV_graph.dataset3/page_22_part_4.png
23	1	Upper_Left	8785012f-f73e-4d68-87cf-1d804af32782	6:1759680−160510927	10, 18	30.0	/Volumes/T7-shield/CS-Bachelor-Thesis/CNN_model/SV_graph.PCAWG/SV_graph.dataset3/page_23_part_1.png
23	2	Upper_Right	8785012f-f73e-4d68-87cf-1d804af32782	10:949660−110004864	8, 15	31.0	/Volumes/T7-shield/CS-Bachelor-Thesis/CNN_model/SV_graph.PCAWG/SV_graph.dataset3/page_23_part_2.png
23	3	Lower_Left	88db1340-e4bf-451a-87c0-6e9168296f5e	19:2788499−51420171	11, 20	20.0	/Volumes/T7-shield/CS-Bachelor-Thesis/CNN_model/SV_graph.PCAWG/SV_graph.dataset3/page_23_part_3.png
23	4	Lower_Right	8bd68696-5eeb-46d7-9dc6-c39c849029a4	2:4653440−175863031	9, 15	24.0	/Volumes/T7-shield/CS-Bachelor-Thesis/CNN_model/SV_graph.PCAWG/SV_graph.dataset3/page_23_part_4.png
24	1	Upper_Left	993103b1-e5a1-4c33-8629-be53ebc41d64	10:110197032−121335390	7, 7	7.0	/Volumes/T7-shield/CS-Bachelor-Thesis/CNN_model/SV_graph.PCAWG/SV_graph.dataset3/page_24_part_1.png
24	2	Upper_Right	9f6be944-83de-42ab-8738-f0022f475e61	3:9745722−194626444	12, 14	60.0	/Volumes/T7-shield/CS-Bachelor-Thesis/CNN_model/SV_graph.PCAWG/SV_graph.dataset3/page_24_part_2.png
24	3	Lower_Left	9f6be944-83de-42ab-8738-f0022f475e61	5:10244050−179437055	11, 11	28.0	/Volumes/T7-shield/CS-Bachelor-Thesis/CNN_model/SV_graph.PCAWG/SV_graph.dataset3/page_24_part_3.png
24	4	Lower_Right	9f6be944-83de-42ab-8738-f0022f475e61	7:27995787−139646245	15, 16	31.0	/Volumes/T7-shield/CS-Bachelor-Thesis/CNN_model/SV_graph.PCAWG/SV_graph.dataset3/page_24_part_4.png
25	1	Upper_Left	9f6be944-83de-42ab-8738-f0022f475e61	8:6488297−144963441	7, 10	61.0	/Volumes/T7-shield/CS-Bachelor-Thesis/CNN_model/SV_graph.PCAWG/SV_graph.dataset3/page_25_part_1.png
25	2	Upper_Right	9f6be944-83de-42ab-8738-f0022f475e61	X:64211866−154270745	14, 23	28.0	/Volumes/T7-shield/CS-Bachelor-Thesis/CNN_model/SV_graph.PCAWG/SV_graph.dataset3/page_25_part_2.png
25	3	Lower_Left	9fefbe7c-f66a-4940-843e-285cb7b392c1	5:74688832−80707030	6, 11	25.0	/Volumes/T7-shield/CS-Bachelor-Thesis/CNN_model/SV_graph.PCAWG/SV_graph.dataset3/page_25_part_3.png
25	4	Lower_Right	9fefbe7c-f66a-4940-843e-285cb7b392c1	9:21844042−112515969	5, 10	16.0	/Volumes/T7-shield/CS-Bachelor-Thesis/CNN_model/SV_graph.PCAWG/SV_graph.dataset3/page_25_part_4.png
26	1	Upper_Left	a824b3bd-34d5-4cc1-a92f-f9d6ac0f1814	2:26459899−233537709	11, 14	14.0	/Volumes/T7-shield/CS-Bachelor-Thesis/CNN_model/SV_graph.PCAWG/SV_graph.dataset3/page_26_part_1.png
26	2	Upper_Right	a824b3bd-34d5-4cc1-a92f-f9d6ac0f1814	3:29682227−151361518	7, 13	31.0	/Volumes/T7-shield/CS-Bachelor-Thesis/CNN_model/SV_graph.PCAWG/SV_graph.dataset3/page_26_part_2.png
26	3	Lower_Left	a824b3bd-34d5-4cc1-a92f-f9d6ac0f1814	6:134899220−141764105	7, 17	17.0	/Volumes/T7-shield/CS-Bachelor-Thesis/CNN_model/SV_graph.PCAWG/SV_graph.dataset3/page_26_part_3.png
26	4	Lower_Right	a824b3bd-34d5-4cc1-a92f-f9d6ac0f1814	7:123121252−157394758	5, 9	9.0	/Volumes/T7-shield/CS-Bachelor-Thesis/CNN_model/SV_graph.PCAWG/SV_graph.dataset3/page_26_part_4.png
27	1	Upper_Left	a824b3bd-34d5-4cc1-a92f-f9d6ac0f1814	19:13207846−29674953	7, 7	12.0	/Volumes/T7-shield/CS-Bachelor-Thesis/CNN_model/SV_graph.PCAWG/SV_graph.dataset3/page_27_part_1.png
27	2	Upper_Right	b094e8b2-8ece-4b36-8025-18073a8b873c	1:3498809−247725333	11, 11	54.0	/Volumes/T7-shield/CS-Bachelor-Thesis/CNN_model/SV_graph.PCAWG/SV_graph.dataset3/page_27_part_2.png
27	3	Lower_Left	b094e8b2-8ece-4b36-8025-18073a8b873c	3:4164393−197488086	7, 17	47.0	/Volumes/T7-shield/CS-Bachelor-Thesis/CNN_model/SV_graph.PCAWG/SV_graph.dataset3/page_27_part_3.png
27	4	Lower_Right	b094e8b2-8ece-4b36-8025-18073a8b873c	6:107054725−113512450	4, 4	32.0	/Volumes/T7-shield/CS-Bachelor-Thesis/CNN_model/SV_graph.PCAWG/SV_graph.dataset3/page_27_part_4.png
28	1	Upper_Left	b094e8b2-8ece-4b36-8025-18073a8b873c	7:31636190−151854819	7, 11	28.0	/Volumes/T7-shield/CS-Bachelor-Thesis/CNN_model/SV_graph.PCAWG/SV_graph.dataset3/page_28_part_1.png
28	2	Upper_Right	b094e8b2-8ece-4b36-8025-18073a8b873c	9:71374858−72890109	4, 5	6.0	/Volumes/T7-shield/CS-Bachelor-Thesis/CNN_model/SV_graph.PCAWG/SV_graph.dataset3/page_28_part_2.png
28	3	Lower_Left	b58ad350-5140-4fa8-bc2c-24bca8395f3a	18:20248444−50278950	7, 8	8.0	/Volumes/T7-shield/CS-Bachelor-Thesis/CNN_model/SV_graph.PCAWG/SV_graph.dataset3/page_28_part_3.png
28	4	Lower_Right	c0892598-1f7b-4f23-9cd8-731f797753d5	14:32936197−105369365	10, 11	13.0	/Volumes/T7-shield/CS-Bachelor-Thesis/CNN_model/SV_graph.PCAWG/SV_graph.dataset3/page_28_part_4.png
29	1	Upper_Left	ccd4a24b-d8cc-4686-9dee-c98b0c5a8d21	2:30492069−242512963	8, 11	86.0	/Volumes/T7-shield/CS-Bachelor-Thesis/CNN_model/SV_graph.PCAWG/SV_graph.dataset3/page_29_part_1.png
29	2	Upper_Right	d2f2560c-ec80-4fea-9474-c47a2e85ea95	1:10197061−240751611	10, 10	48.0	/Volumes/T7-shield/CS-Bachelor-Thesis/CNN_model/SV_graph.PCAWG/SV_graph.dataset3/page_29_part_2.png
29	3	Lower_Left	d2f2560c-ec80-4fea-9474-c47a2e85ea95	2:6059598−203121904	6, 9	35.0	/Volumes/T7-shield/CS-Bachelor-Thesis/CNN_model/SV_graph.PCAWG/SV_graph.dataset3/page_29_part_3.png
29	4	Lower_Right	d2f2560c-ec80-4fea-9474-c47a2e85ea95	12:329064−133417882	10, 10	29.0	/Volumes/T7-shield/CS-Bachelor-Thesis/CNN_model/SV_graph.PCAWG/SV_graph.dataset3/page_29_part_4.png
30	1	Upper_Left	d3d545b3-457f-4389-821f-704cb24aff7f	6:1587687−158509485	7, 10	40.0	/Volumes/T7-shield/CS-Bachelor-Thesis/CNN_model/SV_graph.PCAWG/SV_graph.dataset3/page_30_part_1.png
30	2	Upper_Right	d3d545b3-457f-4389-821f-704cb24aff7f	X:30768634−150086913	5, 6	11.0	/Volumes/T7-shield/CS-Bachelor-Thesis/CNN_model/SV_graph.PCAWG/SV_graph.dataset3/page_30_part_2.png
30	3	Lower_Left	d6f7afc0-1558-43ad-acb1-2b5311ed2264	8:37191389−43639589	4, 6	17.0	/Volumes/T7-shield/CS-Bachelor-Thesis/CNN_model/SV_graph.PCAWG/SV_graph.dataset3/page_30_part_3.png
30	4	Lower_Right	d9dc3b59-613d-469e-8b4f-6c5a557eb26a	1:1898876−77522550	5, 12	28.0	/Volumes/T7-shield/CS-Bachelor-Thesis/CNN_model/SV_graph.PCAWG/SV_graph.dataset3/page_30_part_4.png
