page	event	quadrant	sample_name	position	oscillating_cn_2&3_states	cn_segments
28	1	Upper_Left	b094e8b2-8ece-4b36-8025-18073a8b873c	7:31636190−151854819	7, 11	28
28	2	Upper_Right	b094e8b2-8ece-4b36-8025-18073a8b873c	9:71374858−72890109	4, 5	6
28	3	Lower_Left	b58ad350-5140-4fa8-bc2c-24bca8395f3a	18:20248444−50278950	7, 8	8
28	4	Lower_Right	c0892598-1f7b-4f23-9cd8-731f797753d5	14:32936197−105369365	10, 11	13
29	1	Upper_Left	ccd4a24b-d8cc-4686-9dee-c98b0c5a8d21	2:30492069−242512963	8, 11	86
29	2	Upper_Right	d2f2560c-ec80-4fea-9474-c47a2e85ea95	1:10197061−240751611	10, 10	48
29	3	Lower_Left	d2f2560c-ec80-4fea-9474-c47a2e85ea95	2:6059598−203121904	6, 9	35
29	4	Lower_Right	d2f2560c-ec80-4fea-9474-c47a2e85ea95	12:329064−133417882	10, 10	29
30	1	Upper_Left	d3d545b3-457f-4389-821f-704cb24aff7f	6:1587687−158509485	7, 10	40
30	2	Upper_Right	d3d545b3-457f-4389-821f-704cb24aff7f	X:30768634−150086913	5, 6	11
30	3	Lower_Left	d6f7afc0-1558-43ad-acb1-2b5311ed2264	8:37191389−43639589	4, 6	17
30	4	Lower_Right	d9dc3b59-613d-469e-8b4f-6c5a557eb26a	1:1898876−77522550	5, 12	28
31	1	Upper_Left	d9dc3b59-613d-469e-8b4f-6c5a557eb26a	3:83571470−194744514	7, 11	34
31	2	Upper_Right	d9dc3b59-613d-469e-8b4f-6c5a557eb26a	9:100142774−123611055	12, 12	12
31	3	Lower_Left	d9dc3b59-613d-469e-8b4f-6c5a557eb26a	14:25445910−99447397	9, 15	36
31	4	Lower_Right	d9dc3b59-613d-469e-8b4f-6c5a557eb26a	17:2481365−78698346	7, 16	20
32	1	Upper_Left	d9dc3b59-613d-469e-8b4f-6c5a557eb26a	X:7323507−150791833	8, 14	14
32	2	Upper_Right	e4fc0909-f284-4471-866d-d8967b6adcbc	5:3262330−164768438	9, 11	26
32	3	Lower_Left	e4fc0909-f284-4471-866d-d8967b6adcbc	6:93474674−108070113	7, 14	27
32	4	Lower_Right	e4fc0909-f284-4471-866d-d8967b6adcbc	8:138302264−144043894	4, 10	10
33	1	Upper_Left	e4fc0909-f284-4471-866d-d8967b6adcbc	10:8113663−12635794	4, 6	12
33	2	Upper_Right	e4fc0909-f284-4471-866d-d8967b6adcbc	12:6511073−132672448	15, 19	27
33	3	Lower_Left	e4fc0909-f284-4471-866d-d8967b6adcbc	X:4881574−145429683	8, 14	38
33	4	Lower_Right	eadf8482-e60e-4307-adb7-d5c3b9fa6cae	5:50309848−62318656	9, 10	20
34	1	Upper_Left	eadf8482-e60e-4307-adb7-d5c3b9fa6cae	7:49989231−144882103	7, 18	36
34	2	Upper_Right	eadf8482-e60e-4307-adb7-d5c3b9fa6cae	11:55709941−81062381	8, 15	28
34	3	Lower_Left	eadf8482-e60e-4307-adb7-d5c3b9fa6cae	14:20532445−36857210	5, 11	15
34	4	Lower_Right	c13215d9-26a8-4c8b-b4fe-5da6aa3222af	11:133072701−134636862	12, 12	14
35	1	Upper_Left	0798dbe2-1914-427c-a2fe-2a865d0d6eda	3:183615477−183945373	12, 12	12
35	2	Upper_Right	8da3103e-3e6c-4176-a583-d5fe5e60601e	3:2515461−3160126	7, 7	7
35	3	Lower_Left	b1c4579c-72fa-4974-830c-b6a81ace45f4	2:66469477−174340940	5, 9	9
35	4	Lower_Right	c184c3ca-7ad3-4202-b108-cb9fd5f5d947	16:11082483−11804564	5, 5	5
36	1	Upper_Left	de7b7cac-f094-4d59-8651-e991e34ea093	8:68506883−72724157	7, 7	7
36	2	Upper_Right	5116e3b4-2bac-40f5-8046-b9c1783faaa5	7:862136−133957567	7, 8	18
36	3	Lower_Left	7d8eab0a-e6c8-4449-9ebf-50c41db94a06	2:43615678−64237004	5, 5	5
36	4	Lower_Right	a512701f-88bb-4b05-8c94-fd285b9dd13e	7:39647779−158482174	7, 7	7
37	1	Upper_Left	bfb07784-693b-4c25-874e-4ad6e04a5d46	5:58280145−129435613	7, 10	10
37	2	Upper_Right	fafd4576-0709-49e1-926f-ad1ee09907ec	3:20473702−196392506	10, 22	22
37	3	Lower_Left	8feb0e8f-d09b-437d-8651-0cdecfe776bf	6:1750031−162731368	8, 8	10
37	4	Lower_Right	e2d395f8-bf13-4fe4-8031-683b0eedd875	2:18369748−224149589	10, 10	16
38	1	Upper_Left	e2d395f8-bf13-4fe4-8031-683b0eedd875	5:52372824−60181728	4, 4	6
38	2	Upper_Right	e2d395f8-bf13-4fe4-8031-683b0eedd875	13:19176863−91407141	7, 9	11
38	3	Lower_Left	OCCAMS-AH-014	10:84597156−108564886	4, 5	7
38	4	Lower_Right	OCCAMS-AH-039	2:47547253−227912729	10, 14	14
39	1	Upper_Left	OCCAMS-AH-039	3:60184941−60611121	7, 8	8
39	2	Upper_Right	OCCAMS-AH-082	2:20418187−235815453	7, 12	29
39	3	Lower_Left	OCCAMS-AH-086	2:12813030−234404523	7, 34	37
39	4	Lower_Right	OCCAMS-AH-086	8:8145650−138110281	7, 14	32
40	1	Upper_Left	OCCAMS-AH-086	16:4274640−88167527	10, 14	16
40	2	Upper_Right	OCCAMS-AH-135	7:24306872−138562308	8, 9	21
40	3	Lower_Left	OCCAMS-AH-135	11:41887275−103067905	10, 10	19
40	4	Lower_Right	OCCAMS-AH-143	9:9270942−115069668	8, 13	23
41	1	Upper_Left	OCCAMS-AH-160	3:21878297−175600377	7, 12	14
41	2	Upper_Right	OCCAMS-AH-173	4:1618263−177859827	12, 12	12
41	3	Lower_Left	OCCAMS-AH-173	13:26991542−96155452	8, 8	8
41	4	Lower_Right	OCCAMS-AH-174	12:19271132−109088102	9, 9	16
42	1	Upper_Left	OCCAMS-AH-197	12:53626633−123151239	6, 8	8
42	2	Upper_Right	OCCAMS-AH-213	3:13968605−194565147	13, 17	28
42	3	Lower_Left	OCCAMS-ED-007	6:137614668−144874378	4, 6	16
42	4	Lower_Right	OCCAMS-PS-012	2:5579139−8930469	7, 11	11
43	1	Upper_Left	OCCAMS-QE-095	5:58889907−129722541	11, 12	12
43	2	Upper_Right	OCCAMS-QE-095	7:27948258−157460631	8, 18	18
43	3	Lower_Left	OCCAMS-QE-095	X:6665084−150768368	18, 20	20
43	4	Lower_Right	OCCAMS-RS-032	3:6793668−181259419	7, 17	25
44	1	Upper_Left	OCCAMS-RS-032	5:21645067−104326690	14, 14	14
44	2	Upper_Right	OCCAMS-RS-047	3:57769950−184424438	7, 23	39
44	3	Lower_Left	OCCAMS-RS-047	14:21444972−103597907	9, 17	35
44	4	Lower_Right	OCCAMS-RS-047	15:40224068−90935523	11, 11	24
45	1	Upper_Left	OCCAMS-RS-047	18:19478394−72412983	13, 14	17
45	2	Upper_Right	OCCAMS-SH-024	4:1687132−175651479	9, 9	22
45	3	Lower_Left	OCCAMS-SH-051	1:160780664−178102081	4, 6	13
45	4	Lower_Right	OCCAMS-ST-033	1:10953691−246705970	7, 13	17
46	1	Upper_Left	OCCAMS-ST-033	2:13178329−233510064	7, 10	18
46	2	Upper_Right	OCCAMS-ST-035	12:6443759−117567030	7, 7	7
46	3	Lower_Left	OCCAMS-WG-001	3:269704−5196742	5, 5	5
46	4	Lower_Right	OCCAMS-WG-005	5:12714338−161549623	11, 11	11
47	1	Upper_Left	OCCAMS-WG-008	3:9406366−148985299	9, 36	36
47	2	Upper_Right	OCCAMS-WG-008	X:6894656−154973534	14, 18	18
47	3	Lower_Left	OCCAMS-WG-009	2:85478953−232558623	11, 19	51
47	4	Lower_Right	OCCAMS-WG-009	11:7867256−37730507	7, 11	16
48	1	Upper_Left	OCCAMS-WG-009	17:28749738−71397421	7, 10	33
48	2	Upper_Right	OCCAMS-WG-019	6:18740622−21421268	5, 5	5
48	3	Lower_Left	OCCAMS-ZZ-009	16:14176787−87458987	13, 21	25
48	4	Lower_Right	3e5f451a-5882-4914-ae1a-95c898c2bcca	3:980214−174918572	9, 17	33
49	1	Upper_Left	3e5f451a-5882-4914-ae1a-95c898c2bcca	4:17276274−182542010	15, 22	38
49	2	Upper_Right	ad6c9d09-2c03-4786-a72d-dd2aa5f603d4	4:52783484−187472712	8, 13	44
49	3	Lower_Left	c1f50a22-38df-41cc-a1f4-f7985504a7ac	1:22744462−211294614	11, 11	20
49	4	Lower_Right	cb99fb14-641c-4fb3-bf1d-17efb8cd982a	6:720079−25769089	6, 7	13
50	1	Upper_Left	e7d49212-e9cb-4cd7-923a-bdfc82a4a150	3:194529547−197519861	10, 13	13
50	2	Upper_Right	e8ac39e6-377a-412c-b18d-f6c4fc654ec6	7:1981292−145607230	7, 9	20
50	3	Lower_Left	9fc40b03-0b56-4b1f-93ed-dbc455ae3fd9	3:10505042−131382838	11, 11	15
50	4	Lower_Right	9fc40b03-0b56-4b1f-93ed-dbc455ae3fd9	4:69152238−129221201	6, 9	9
51	1	Upper_Left	C0052	6:3555069−44962683	6, 12	12
51	2	Upper_Right	06ac44e9-1226-4202-828b-6f224766d7ac	1:8058341−244930271	5, 7	13
51	3	Lower_Left	1987b453-f97d-45c7-9c89-b9a33313d645	1:9273332−226103050	30, 40	46
51	4	Lower_Right	1987b453-f97d-45c7-9c89-b9a33313d645	9:6482278−127861801	12, 12	12
52	1	Upper_Left	1987b453-f97d-45c7-9c89-b9a33313d645	11:9340114−77018016	7, 15	15
52	2	Upper_Right	1987b453-f97d-45c7-9c89-b9a33313d645	17:6752376−73621734	7, 11	12
52	3	Lower_Left	1987b453-f97d-45c7-9c89-b9a33313d645	X:31286763−116414502	8, 14	14
52	4	Lower_Right	440375d7-cdcd-418a-8992-0a8ca42d290d	4:15852769−177944792	14, 16	45
53	1	Upper_Left	440375d7-cdcd-418a-8992-0a8ca42d290d	5:130189137−149619578	4, 6	25
53	2	Upper_Right	440375d7-cdcd-418a-8992-0a8ca42d290d	6:42615061−100972584	9, 18	25
53	3	Lower_Left	440375d7-cdcd-418a-8992-0a8ca42d290d	8:94743333−136006935	9, 9	30
53	4	Lower_Right	440375d7-cdcd-418a-8992-0a8ca42d290d	9:33405632−37129539	7, 10	14
54	1	Upper_Left	440375d7-cdcd-418a-8992-0a8ca42d290d	15:25612423−95231017	13, 16	30
54	2	Upper_Right	440375d7-cdcd-418a-8992-0a8ca42d290d	18:2523032−72108189	15, 15	15
54	3	Lower_Left	440375d7-cdcd-418a-8992-0a8ca42d290d	22:17910494−50713692	17, 17	23
54	4	Lower_Right	457cca7c-a8b4-414e-a3c0-7fccf0ee2034	8:41016513−53511362	5, 5	5
55	1	Upper_Left	4bbdbe77-f3cb-4b64-9826-72debb734784	1:53503836−192549016	11, 25	42
55	2	Upper_Right	4bbdbe77-f3cb-4b64-9826-72debb734784	2:85528204−99868582	4, 4	4
55	3	Lower_Left	56403463-1727-4c23-a709-de5f168c4073	1:3589401−30700898	5, 5	11
55	4	Lower_Right	56403463-1727-4c23-a709-de5f168c4073	9:4927905−30615811	9, 9	9
56	1	Upper_Left	670c1cbc-4494-45f1-bb8b-18db82d4f7e0	5:40899212−124664734	4, 8	21
56	2	Upper_Right	68015cc7-d3a1-4c90-b8fb-5d14143d9960	3:101275−159910152	10, 22	22
56	3	Lower_Left	68015cc7-d3a1-4c90-b8fb-5d14143d9960	5:21799697−173208906	18, 18	25
56	4	Lower_Right	68015cc7-d3a1-4c90-b8fb-5d14143d9960	6:26485750−163374875	16, 16	16
57	1	Upper_Left	68015cc7-d3a1-4c90-b8fb-5d14143d9960	8:12730205−130589835	12, 12	12
57	2	Upper_Right	68015cc7-d3a1-4c90-b8fb-5d14143d9960	10:26398455−118039623	21, 21	21
57	3	Lower_Left	68015cc7-d3a1-4c90-b8fb-5d14143d9960	12:6565847−129085870	14, 14	14
57	4	Lower_Right	6c79f64b-63fe-46f5-bf7b-77208231b0f2	4:13197519−166464059	4, 4	4
58	1	Upper_Left	6dcfc418-ab28-4365-95ea-c1ae254f2341	12:1508040−124042273	7, 17	25
58	2	Upper_Right	8afa3140-dcbd-44c0-ab13-4ada6a0444d4	2:7896145−234951998	10, 16	34
58	3	Lower_Left	8afa3140-dcbd-44c0-ab13-4ada6a0444d4	6:17536286−142324409	14, 23	26
58	4	Lower_Right	8afa3140-dcbd-44c0-ab13-4ada6a0444d4	8:793195−126571971	8, 14	14
59	1	Upper_Left	8afa3140-dcbd-44c0-ab13-4ada6a0444d4	9:2531011−138963230	8, 15	20
59	2	Upper_Right	8afa3140-dcbd-44c0-ab13-4ada6a0444d4	11:1792398−105876405	8, 11	18
59	3	Lower_Left	8afa3140-dcbd-44c0-ab13-4ada6a0444d4	15:41329339−78831198	10, 10	10
59	4	Lower_Right	c52abac9-07da-4b3d-bf8a-2161cacf9682	3:17621629−171986122	7, 12	12
60	1	Upper_Left	d680df09-368e-42b5-b540-45c41ed31042	1:62587390−232902623	4, 6	6
60	2	Upper_Right	ee63c44b-91f4-4004-8dea-192eab527036	17:19411292−80161265	6, 10	41
60	3	Lower_Left	f6e5979d-d6a9-4408-bd1b-1b37d1064e83	3:18657637−137367416	8, 8	8
60	4	Lower_Right	HX11	16:7537773−31271320	4, 4	12
61	1	Upper_Left	HX17	11:19730216−113168096	7, 7	7
61	2	Upper_Right	HX32	1:8099405−215842951	10, 18	20
61	3	Lower_Left	HX32	2:48452073−217017336	11, 13	15
61	4	Lower_Right	HX32	19:1285753−47756167	14, 14	14
62	1	Upper_Left	RK042	8:30371255−87560417	7, 10	10
62	2	Upper_Right	RK053	3:60740057−188119821	10, 10	10
62	3	Lower_Left	RK070	11:2547255−132275890	7, 19	19
62	4	Lower_Right	RK107	1:26503377−220160009	9, 21	66
63	1	Upper_Left	RK107	11:65126119−117045448	9, 9	50
63	2	Upper_Right	RK107	3:39802700−133489711	9, 22	40
63	3	Lower_Left	RK107	4:40323309−109722573	9, 10	13
63	4	Lower_Right	RK107	10:75643021−104011740	11, 13	21
64	1	Upper_Left	RK107	11:65126119−117045449	11, 12	41
64	2	Upper_Right	RK111	1:6300063−213681406	13, 15	15
64	3	Lower_Left	RK111	19:14071846−46096435	14, 14	14
64	4	Lower_Right	RK120	9:28658249−39086583	4, 8	14
65	1	Upper_Left	RK121	4:101126283−130852966	6, 6	6
65	2	Upper_Right	RK122	3:100989378−104690117	6, 6	6
65	3	Lower_Left	RK122	5:1296781−85032688	4, 6	6
65	4	Lower_Right	RK148	5:42562425−154180295	11, 11	11
66	1	Upper_Left	RK148	7:1042254−150037666	13, 13	13
66	2	Upper_Right	RK148	9:21975039−132836763	7, 11	11
66	3	Lower_Left	RK148	12:9270007−123718833	13, 13	13
66	4	Lower_Right	RK148	14:33101844−100726901	9, 10	10
67	1	Upper_Left	RK148	17:41536382−79640132	11, 11	11
67	2	Upper_Right	RK148	22:24848675−42286407	16, 16	16
67	3	Lower_Left	RK177	8:50712276−144686189	14, 17	21
67	4	Lower_Right	RK195	2:9090277−240897263	9, 11	11
68	1	Upper_Left	RK211	1:21930164−34131783	5, 13	21
68	2	Upper_Right	RK211	12:9969409−96771043	11, 12	12
68	3	Lower_Left	RK211	15:51499432−90044037	12, 12	12
68	4	Lower_Right	RK280	1:25548581−217538998	7, 13	13
69	1	Upper_Left	RK280	3:37076321−196695607	11, 20	20
69	2	Upper_Right	RK285	5:973432−156988868	10, 11	18
69	3	Lower_Left	RK285	6:158550050−163021558	7, 11	11
69	4	Lower_Right	368e23f0-e573-4547-bf5a-14080baf737b	6:1715943−15332733	5, 7	7
70	1	Upper_Left	368e23f0-e573-4547-bf5a-14080baf737b	9:4921030−131320749	12, 15	15
70	2	Upper_Right	9f81c602-8afa-4588-b0b6-6e5a1a128d5a	18:31523695−73471077	7, 18	18
70	3	Lower_Left	c4d1e105-28b7-48df-abef-fbe09782fdb2	4:2178913−151296713	14, 14	14
70	4	Lower_Right	c4d1e105-28b7-48df-abef-fbe09782fdb2	6:11726247−162394717	8, 10	10
71	1	Upper_Left	f77cf4d3-9829-4fd3-95a1-b29aed9e94b8	X:147715186−154903339	5, 5	17
71	2	Upper_Right	037c57d1-b4a5-45dc-bda4-0550461d321b	1:51845048−55431534	4, 5	9
71	3	Lower_Left	037c57d1-b4a5-45dc-bda4-0550461d321b	2:32968870−222526259	7, 9	36
71	4	Lower_Right	037c57d1-b4a5-45dc-bda4-0550461d321b	5:1852334−41793671	6, 10	22
72	1	Upper_Left	1f6b2aca-7357-40d1-ba7a-99227d9900a2	6:47045197−150310817	9, 14	26
72	2	Upper_Right	43abe847-4ba7-466e-8283-5d7b80b999a7	7:114953114−146032540	4, 6	26
72	3	Lower_Left	7b982d5e-3a7d-40ac-bd25-6044c62879b6	10:89028540−98045877	5, 7	8
72	4	Lower_Right	87ac0ad4-8c9d-409e-9a86-1d201d01769d	1:15427220−247773092	17, 29	29
73	1	Upper_Left	9a874b64-d0d6-416e-97bc-e9071ed0b16b	7:3406252−121161205	7, 22	22
73	2	Upper_Right	aecf85cc-058c-46f3-9cdc-3573ac3b8438	11:400656−128835047	8, 8	11
73	3	Lower_Left	b913d254-8307-4b8a-8313-d978e32bb38f	1:10985224−229819545	7, 7	24
73	4	Lower_Right	4111337	12:17128247−17295895	6, 7	9
74	1	Upper_Left	4135099	2:53389576−199251373	12, 12	12
74	2	Upper_Right	4135099	4:2735820−190587393	13, 17	17
74	3	Lower_Left	4138527	4:15573682−189567466	7, 7	7
