page	event	quadrant	sample_name	position	oscillating_cn_2&3_states	cn_segments
11	1	Upper_Left	CGP_donor_1437403	3:137693454−187956215	11, 22	30
11	2	Upper_Right	CGP_donor_1437403	10:757620−15159495	9, 11	11
11	3	Lower_Left	CGP_donor_1437403	14:48802183−106839331	15, 19	19
11	4	Lower_Right	CGP_donor_1437404	3:5273444−86230794	19, 25	55
12	1	Upper_Left	CGP_donor_1437404	4:121261720−181140074	36, 50	57
12	2	Upper_Right	CGP_donor_1437404	5:18472606−43606863	14, 16	33
12	3	Lower_Left	CGP_donor_1437404	12:54388545−79574150	3, 4	127
12	4	Lower_Right	CGP_donor_1437404	19:29326898−57862516	14, 14	19
13	1	Upper_Left	CGP_donor_1437406	3:8793061−39393867	11, 11	11
13	2	Upper_Right	CGP_donor_1437406	5:55072−32110730	6, 6	99
13	3	Lower_Left	CGP_donor_1437406	12:4757456−129380238	4, 5	551
13	4	Lower_Right	CGP_donor_1437407	11:86917622−100968022	14, 14	14
14	1	Upper_Left	CGP_donor_1437407	20:50980028−62689311	13, 29	46
14	2	Upper_Right	CGP_donor_1437409	2:189048530−203590444	13, 13	13
14	3	Lower_Left	CGP_donor_1437409	12:22931670−39481564	14, 17	34
14	4	Lower_Right	CGP_donor_1437409	16:2570177−12331926	8, 8	8
15	1	Upper_Left	CGP_donor_1490908	1:5777564−248793247	12, 21	52
15	2	Upper_Right	CGP_donor_1490908	6:64603046−167895820	11, 13	130
15	3	Lower_Left	CGP_donor_1490914	6:76106264−166727720	6, 9	65
15	4	Lower_Right	CGP_donor_1490914	10:50348934−97731679	9, 13	15
16	1	Upper_Left	CGP_donor_1490914	19:16843361−54772913	7, 13	78
16	2	Upper_Right	CGP_donor_1528364	2:98265301−240710956	10, 16	81
16	3	Lower_Left	CGP_donor_1528364	4:161515724−190840263	11, 12	65
16	4	Lower_Right	CGP_donor_1528364	5:878141−41078797	12, 12	126
17	1	Upper_Left	CGP_donor_1528364	7:62514967−158846143	8, 15	274
17	2	Upper_Right	CGP_donor_1528364	8:71431403−119090655	9, 22	22
17	3	Lower_Left	CGP_donor_1528364	10:44478896−86379721	15, 30	70
17	4	Lower_Right	CGP_donor_1528364	18:63082505−77710470	7, 17	83
18	1	Upper_Left	CGP_donor_1528371	12:70291799−112943997	9, 18	23
18	2	Upper_Right	CGP_donor_1528371	13:103350092−106906740	7, 7	12
18	3	Lower_Left	CGP_donor_1528381	2:143820724−160979294	7, 7	13
18	4	Lower_Right	CGP_donor_1528381	6:494867−75444947	20, 24	43
19	1	Upper_Left	CGP_donor_1528381	19:5000187−56724969	8, 9	18
19	2	Upper_Right	CGP_donor_1691133	2:184287853−237379430	11, 12	27
19	3	Lower_Left	CGP_donor_1691133	5:49680325−176939873	8, 12	20
19	4	Lower_Right	CGP_donor_1691133	8:54201065−139568174	8, 19	23
20	1	Upper_Left	CGP_donor_1691133	18:20691527−64759312	7, 9	43
20	2	Upper_Right	CGP_donor_1691135	9:1002337−47212849	9, 24	54
20	3	Lower_Left	CGP_donor_1691135	21:33576946−40152008	10, 10	10
20	4	Lower_Right	CGP_donor_1691147	1:146691688−249090423	13, 67	79
21	1	Upper_Left	CGP_donor_1691147	2:4339643−84633644	8, 22	22
21	2	Upper_Right	CGP_donor_1691147	8:121801782−134076197	9, 9	9
21	3	Lower_Left	CGP_donor_1691147	15:33299268−98372536	8, 9	29
21	4	Lower_Right	CGP_donor_1691147	18:2636202−13923208	9, 11	13
22	1	Upper_Left	CGP_donor_1691147	19:2553855−32893078	5, 7	72
22	2	Upper_Right	CGP_donor_1691149	2:95756719−226666706	10, 10	32
22	3	Lower_Left	CGP_donor_1691149	12:39356696−73985137	4, 5	77
22	4	Lower_Right	CGP_donor_1691207	5:4320966−44667330	14, 43	112
23	1	Upper_Left	CGP_donor_1691207	8:50128153−138434525	16, 16	30
23	2	Upper_Right	CGP_donor_1691208	11:59962284−134707313	6, 7	47
23	3	Lower_Left	CGP_donor_1691209	1:151613490−246812975	8, 11	14
23	4	Lower_Right	CGP_donor_1691210	9:90338614−98608467	10, 18	28
24	1	Upper_Left	CGP_donor_1691210	12:66698784−98376745	11, 21	55
24	2	Upper_Right	CGP_donor_1691211	2:9233757−238199400	15, 42	76
24	3	Lower_Left	CGP_donor_1691211	9:72321762−137935609	9, 10	86
24	4	Lower_Right	CGP_donor_1691211	16:6326850−23636186	9, 10	28
25	1	Upper_Left	CGP_donor_1691211	17:996864−13569641	8, 11	23
25	2	Upper_Right	CGP_donor_1691213	11:25558833−42430376	9, 13	25
25	3	Lower_Left	CGP_donor_1691213	12:38831735−119704559	5, 8	232
25	4	Lower_Right	CGP_donor_1691214	3:29117586−189128945	7, 17	82
26	1	Upper_Left	CGP_donor_1691214	X:48348455−150018347	7, 8	166
26	2	Upper_Right	CGP_donor_1691215	17:54416−80744029	37, 73	73
26	3	Lower_Left	CGP_donor_1691217	13:20312035−47194343	12, 18	56
26	4	Lower_Right	CGP_donor_1691217	X:88486379−153095441	9, 11	29
27	1	Upper_Left	CGP_donor_1230755	5:31942233−93707021	7, 7	7
27	2	Upper_Right	CGP_donor_1230755	8:17274088−43561752	7, 12	12
27	3	Lower_Left	CGP_donor_1232859	6:56201574−162603780	9, 12	31
27	4	Lower_Right	CGP_donor_1234121	18:19776092−47210113	7, 8	15
28	1	Upper_Left	CGP_donor_1234122	2:3892443−238924020	26, 26	26
28	2	Upper_Right	CGP_donor_1234123	1:101766772−111649270	10, 13	15
28	3	Lower_Left	CGP_donor_1234124	1:16353677−153794553	7, 13	24
28	4	Lower_Right	CGP_donor_1234124	2:23018733−86416994	7, 9	9
29	1	Upper_Left	CGP_donor_1234124	20:14054448−51465273	7, 7	7
29	2	Upper_Right	CGP_donor_1333047	18:47340927−64019671	7, 7	9
29	3	Lower_Left	CGP_donor_1333048	13:41489453−67817353	9, 9	9
29	4	Lower_Right	CGP_donor_1337214	2:167215273−179453980	9, 10	11
30	1	Upper_Left	CGP_donor_1337222	19:5982144−53477754	19, 22	22
30	2	Upper_Right	CGP_donor_1337225	1:147121037−226598450	7, 9	31
30	3	Lower_Left	CGP_donor_1337226	1:41613153−240778773	21, 24	59
30	4	Lower_Right	CGP_donor_1337226	2:26938396−230264706	12, 20	86
31	1	Upper_Left	CGP_donor_1337226	6:35204768−167887451	12, 46	89
31	2	Upper_Right	CGP_donor_1337226	10:42502102−123920853	8, 10	15
31	3	Lower_Left	CGP_donor_1337231	1:227864992−247779692	7, 14	24
31	4	Lower_Right	CGP_donor_1337231	9:73011782−140301664	7, 9	20
32	1	Upper_Left	CGP_donor_1337231	11:2020871−105572582	8, 8	67
32	2	Upper_Right	CGP_donor_1337231	12:34572727−133356868	10, 17	17
32	3	Lower_Left	CGP_donor_1347731	7:1295015−158613922	43, 62	62
32	4	Lower_Right	CGP_donor_1347742	15:66537420−102369380	7, 7	110
33	1	Upper_Left	CGP_donor_1347751	8:30557729−121251839	11, 20	41
33	2	Upper_Right	CGP_donor_1347751	11:67012799−101615430	18, 38	175
33	3	Lower_Left	CGP_donor_1347751	18:20621968−77903678	11, 16	16
33	4	Lower_Right	CGP_donor_1353427	4:20249209−76099019	12, 21	28
34	1	Upper_Left	CGP_donor_1353427	5:112844490−180014178	19, 23	47
34	2	Upper_Right	CGP_donor_1353427	14:41756381−106200525	26, 37	39
34	3	Lower_Left	CGP_donor_1353434	4:60055635−137193613	9, 9	42
34	4	Lower_Right	CGP_donor_1364028	2:143479926−239003903	7, 7	7
35	1	Upper_Left	CGP_donor_1364028	3:11137338−196396672	9, 22	22
35	2	Upper_Right	CGP_donor_1364028	14:84761805−88311296	7, 7	7
35	3	Lower_Left	CGP_donor_1364028	20:13487327−62399711	9, 10	59
35	4	Lower_Right	CGP_donor_1364033	6:57399664−170784376	7, 14	94
36	1	Upper_Left	CGP_donor_1364033	13:69277093−114427555	12, 12	12
36	2	Upper_Right	CGP_donor_1374616	3:149533512−196009872	11, 39	39
36	3	Lower_Left	CGP_donor_1374616	8:41958285−66532612	19, 19	19
36	4	Lower_Right	CGP_donor_1374616	X:3867520−67168967	10, 10	26
37	1	Upper_Left	CGP_donor_1374617	1:112053543−248836624	10, 22	44
37	2	Upper_Right	CGP_donor_1374617	8:809654−92053762	11, 23	23
37	3	Lower_Left	CGP_donor_1374618	11:26862299−100822979	36, 39	39
37	4	Lower_Right	CGP_donor_1374618	14:28112043−76435431	8, 17	17
38	1	Upper_Left	CGP_donor_1397088	5:56141249−179216352	7, 7	7
38	2	Upper_Right	CGP_donor_1397260	3:4365807−88334064	11, 14	56
38	3	Lower_Left	CGP_donor_1397282	3:763757−27175998	8, 8	8
38	4	Lower_Right	CGP_donor_1397282	17:6803218−63783380	8, 14	48
39	1	Upper_Left	CGP_donor_1475202	1:80341830−241765599	14, 18	27
39	2	Upper_Right	CGP_donor_1475202	3:4105086−194006757	7, 21	48
39	3	Lower_Left	CGP_donor_1475202	7:8316244−16409139	9, 13	13
39	4	Lower_Right	CGP_donor_1503014	3:24341426−76090407	7, 7	13
40	1	Upper_Left	CGP_donor_1503014	14:37444009−62292108	12, 12	12
40	2	Upper_Right	CGP_donor_1503014	20:7490391−60291793	8, 8	31
40	3	Lower_Left	CGP_donor_1503016	6:70321603−92182155	13, 13	13
40	4	Lower_Right	CGP_donor_1503020	7:23638008−149260298	13, 17	34
41	1	Upper_Left	CGP_donor_1503150	4:31802737−183234503	8, 8	8
41	2	Upper_Right	CGP_donor_1503150	13:57920742−114632856	11, 12	12
41	3	Lower_Left	CGP_donor_1503150	19:6471749−14092495	7, 7	7
41	4	Lower_Right	CGP_donor_1503156	15:23149223−92319473	14, 16	40
42	1	Upper_Left	CGP_donor_1187030	5:81925457−135300603	7, 20	63
42	2	Upper_Right	CGP_donor_1187031	7:99895066−127463712	13, 18	18
42	3	Lower_Left	CGP_donor_1187033	9:17517806−130978055	13, 13	13
42	4	Lower_Right	CGP_donor_1187033	21:18531210−42344561	10, 10	10
43	1	Upper_Left	CGP_donor_1199104	X:30692107−137148702	7, 12	25
43	2	Upper_Right	CGP_donor_1199129	6:124809960−139777060	9, 10	80
43	3	Lower_Left	CGP_donor_1199137	8:53301916−73691310	15, 15	15
43	4	Lower_Right	CGP_donor_1199138	3:44425923−90280177	14, 17	23
44	1	Upper_Left	CGP_donor_1230728	16:2388599−19726671	8, 11	37
44	2	Upper_Right	CGP_donor_1230728	17:37232274−80621815	8, 8	116
44	3	Lower_Left	CGP_donor_1230729	X:108395802−120251740	7, 7	7
44	4	Lower_Right	CGP_donor_1230778	6:5750165−170904138	12, 13	54
45	1	Upper_Left	CGP_donor_1337235	11:17489408−47547069	8, 20	20
45	2	Upper_Right	CGP_donor_1347739	3:103694800−184410665	8, 8	18
45	3	Lower_Left	CGP_donor_1353431	11:65669076−121347315	34, 40	59
45	4	Lower_Right	CGP_donor_1353431	15:30027396−46766066	10, 10	10
46	1	Upper_Left	CGP_donor_1363969	21:10785441−47214482	12, 18	36
46	2	Upper_Right	CGP_donor_1410205	8:28416833−125849825	7, 7	15
46	3	Lower_Left	CGP_donor_1472395	10:38453757−89733903	15, 17	27
46	4	Lower_Right	CGP_donor_1606179	6:947294−169801583	14, 19	224
47	1	Upper_Left	CGP_donor_1654385	21:10701912−45821258	7, 7	112
47	2	Upper_Right	CGP_donor_1701345	12:52240971−107248205	8, 12	22
47	3	Lower_Left	CGP_donor_1701345	17:424593−20104085	11, 25	25
47	4	Lower_Right	05506f4c-e701-4a9d-ae06-97f066aade43	1:37390229−190370478	12, 23	35
48	1	Upper_Left	084c6aec-94f7-4090-8f3f-59fa9e89721a	3:36209435−190323857	37, 37	37
48	2	Upper_Right	084c6aec-94f7-4090-8f3f-59fa9e89721a	7:6161338−57778540	9, 13	42
48	3	Lower_Left	084c6aec-94f7-4090-8f3f-59fa9e89721a	8:33053387−75087727	9, 9	36
48	4	Lower_Right	084c6aec-94f7-4090-8f3f-59fa9e89721a	12:22079238−133021689	13, 28	28
49	1	Upper_Left	0bc5744c-5fa3-45bb-87d0-70a02068b392	12:6603538−25009802	9, 13	14
49	2	Upper_Right	0bc5744c-5fa3-45bb-87d0-70a02068b392	X:15557457−38830595	8, 18	40
49	3	Lower_Left	0dca98b0-f43e-45b6-9a02-00092c78678c	X:96927939−148453406	23, 37	37
49	4	Lower_Right	1174f6e4-ffbe-4e59-a000-8d861c968369	20:2418957−62264410	10, 12	51
50	1	Upper_Left	17c1d42c-cb84-4655-a4cd-b54bae17ecaf	8:2456699−67762073	12, 22	24
50	2	Upper_Right	1d27253f-b036-44e7-a04d-8da5bbf57419	1:214161940−231274267	11, 13	62
50	3	Lower_Left	1d27253f-b036-44e7-a04d-8da5bbf57419	6:124419945−169580563	9, 14	14
50	4	Lower_Right	233b02f3-c4f0-4a67-9db5-e68d5cdaccb6	3:49458810−79003885	7, 13	48
51	1	Upper_Left	233b02f3-c4f0-4a67-9db5-e68d5cdaccb6	6:12923765−104967173	7, 12	62
51	2	Upper_Right	233b02f3-c4f0-4a67-9db5-e68d5cdaccb6	17:29900854−72983271	12, 18	77
51	3	Lower_Left	2a84997d-ccee-4f46-bea2-752534f26416	1:153229764−225437151	9, 12	49
51	4	Lower_Right	2a84997d-ccee-4f46-bea2-752534f26416	9:38002140−140385138	21, 29	73
52	1	Upper_Left	2a84997d-ccee-4f46-bea2-752534f26416	12:677748−48135242	7, 11	161
52	2	Upper_Right	2a84997d-ccee-4f46-bea2-752534f26416	14:56204105−67427196	8, 19	32
52	3	Lower_Left	324bcba2-f6a4-45a6-807c-215bdffcca21	1:150164066−242610593	7, 7	61
52	4	Lower_Right	324bcba2-f6a4-45a6-807c-215bdffcca21	12:27880056−131551013	8, 33	48
53	1	Upper_Left	359f12f9-5c41-48a4-85bc-fd7e307bf7d8	1:150066880−242290225	7, 7	21
53	2	Upper_Right	3fc3755d-a3f8-4e2c-813f-ff124f2a75c1	17:5222718−62920805	7, 13	25
53	3	Lower_Left	44bec761-b603-49c0-8634-f6bfe0319bb1	3:79667212−191335908	8, 8	189
53	4	Lower_Right	44bec761-b603-49c0-8634-f6bfe0319bb1	8:13658370−76896511	7, 13	54
54	1	Upper_Left	53886143-c1c6-40e9-88e6-e4e5e0271fc8	6:6520338−168564355	20, 27	78
54	2	Upper_Right	5580b21a-2cdb-4777-ad79-6e06654144f5	8:47141968−146282239	17, 54	129
54	3	Lower_Left	566792ae-f853-4a47-856d-f02cdcfcb18a	10:109264246−123915303	8, 14	16
54	4	Lower_Right	566792ae-f853-4a47-856d-f02cdcfcb18a	22:22420637−33518317	8, 10	10
55	1	Upper_Left	5dd423e8-feaa-4568-a750-500948c41d6c	X:133728817−149525449	10, 17	17
55	2	Upper_Right	5fd9552a-c742-4388-940d-295d1107ae00	6:27642577−84092516	17, 19	22
55	3	Lower_Left	65cac997-4d39-4501-85ec-4fcb328a8eb5	3:39702805−190330615	7, 10	40
55	4	Lower_Right	6fa2a667-9c36-4526-8a58-1975e863a806	19:7866667−39524085	11, 14	34
56	1	Upper_Left	733a2a0f-b37a-4b81-b49e-3c0f30d1eb37	1:145117775−243098983	10, 10	57
56	2	Upper_Right	733a2a0f-b37a-4b81-b49e-3c0f30d1eb37	8:31896789−139505359	36, 36	58
56	3	Lower_Left	784de7ac-8424-42eb-83d4-a1bebaa42b97	17:25428583−38145015	7, 7	48
56	4	Lower_Right	8bd68696-5eeb-46d7-9dc6-c39c849029a4	6:43335892−113274184	11, 11	21
57	1	Upper_Left	8cf54607-01ce-42b0-9bd9-8627edd9f3b7	12:2943203−96943878	9, 10	88
57	2	Upper_Right	8cf54607-01ce-42b0-9bd9-8627edd9f3b7	20:11131846−59577547	9, 11	29
57	3	Lower_Left	9435447e-d65f-408b-863b-6576b1d652dd	10:87322920−113509134	7, 21	26
57	4	Lower_Right	993103b1-e5a1-4c33-8629-be53ebc41d64	2:159664646−172537729	11, 13	17
58	1	Upper_Left	993103b1-e5a1-4c33-8629-be53ebc41d64	4:36303099−108458117	12, 14	41
58	2	Upper_Right	993103b1-e5a1-4c33-8629-be53ebc41d64	11:16582735−78899879	10, 13	33
58	3	Lower_Left	993103b1-e5a1-4c33-8629-be53ebc41d64	20:35943756−60123567	7, 9	24
58	4	Lower_Right	9d95a65b-e41d-4f93-92d4-99dce29ff40d	3:118944666−165998674	8, 11	11
59	1	Upper_Left	9d95a65b-e41d-4f93-92d4-99dce29ff40d	13:22617012−47972350	8, 13	23
59	2	Upper_Right	9fefbe7c-f66a-4940-843e-285cb7b392c1	1:31254630−243789937	16, 19	345
59	3	Lower_Left	9fefbe7c-f66a-4940-843e-285cb7b392c1	11:77294848−126487192	10, 14	20
59	4	Lower_Right	a8015490-9740-45c9-8bd2-eb6d1beefc2e	11:28062319−128514909	7, 8	20
60	1	Upper_Left	a824b3bd-34d5-4cc1-a92f-f9d6ac0f1814	9:71455580−141089210	11, 21	21
60	2	Upper_Right	aeb6a3a6-b57a-4c53-90e6-e833777dd2a1	18:23409571−39483311	13, 13	13
60	3	Lower_Left	b43e41af-1d82-4b5f-b8f1-add0510e6b86	9:86410803−134980826	7, 10	15
60	4	Lower_Right	b43e41af-1d82-4b5f-b8f1-add0510e6b86	10:6867995−30890977	13, 19	27
61	1	Upper_Left	b43e41af-1d82-4b5f-b8f1-add0510e6b86	19:48961354−58347531	8, 8	15
61	2	Upper_Right	b43e41af-1d82-4b5f-b8f1-add0510e6b86	22:24093006−30283046	7, 7	13
61	3	Lower_Left	b97bf89a-7a85-4eef-ae7e-f787aead1f0a	1:2468572−121208979	8, 13	99
61	4	Lower_Right	c0892598-1f7b-4f23-9cd8-731f797753d5	1:150239597−180719223	9, 9	59
62	1	Upper_Left	c0892598-1f7b-4f23-9cd8-731f797753d5	2:4509988−88587826	90, 90	90
62	2	Upper_Right	c0892598-1f7b-4f23-9cd8-731f797753d5	6:107014877−166856042	37, 41	57
62	3	Lower_Left	c364e81c-eb1e-4870-ab37-9c661f5f2e3d	16:5415371−33325043	7, 13	38
62	4	Lower_Right	d67cd793-2931-429a-9084-2f3c4c8be7ad	12:33908610−132258021	8, 14	14
63	1	Upper_Left	d6f7afc0-1558-43ad-acb1-2b5311ed2264	12:66502753−130003739	7, 7	39
63	2	Upper_Right	d9dc3b59-613d-469e-8b4f-6c5a557eb26a	11:1073009−116625595	10, 15	139
63	3	Lower_Left	eadf8482-e60e-4307-adb7-d5c3b9fa6cae	2:8912100−170495188	11, 21	46
63	4	Lower_Right	eadf8482-e60e-4307-adb7-d5c3b9fa6cae	3:143115106−168498933	8, 19	43
64	1	Upper_Left	eadf8482-e60e-4307-adb7-d5c3b9fa6cae	15:39425396−101227081	8, 11	107
64	2	Upper_Right	eadf8482-e60e-4307-adb7-d5c3b9fa6cae	17:46099635−77801970	8, 8	91
64	3	Lower_Left	f0787165-6f58-4d67-b510-928eea2c4882	1:146473725−244991894	9, 10	70
64	4	Lower_Right	f0787165-6f58-4d67-b510-928eea2c4882	17:22038970−67294772	7, 10	52
65	1	Upper_Left	f45210d3-9e66-4f5e-bef1-5ee5547cc893	2:16757311−150416613	13, 13	31
65	2	Upper_Right	f45210d3-9e66-4f5e-bef1-5ee5547cc893	7:62474285−101131925	18, 19	30
65	3	Lower_Left	f6e1ec78-5ad9-4879-9b7e-262d17b166ad	4:140599465−173380457	8, 13	13
65	4	Lower_Right	f6e1ec78-5ad9-4879-9b7e-262d17b166ad	6:15272594−170042856	10, 11	41
66	1	Upper_Left	CGP_donor_1234120	4:53312523−80369667	7, 7	29
66	2	Upper_Right	CGP_donor_1234120	14:24801053−53663407	7, 15	17
66	3	Lower_Left	CGP_donor_1347756	2:18030650−144747582	7, 11	17
66	4	Lower_Right	CGP_donor_1347756	6:99814201−149683677	10, 10	10
67	1	Upper_Left	CGP_donor_1347756	8:11620647−85317947	9, 11	25
67	2	Upper_Right	CGP_donor_1347756	10:47144724−120650614	12, 21	33
67	3	Lower_Left	27b05b15-a44b-45ed-a6e3-e7d1ca488ea9	17:50377400−63525147	9, 13	14
67	4	Lower_Right	a482fc4c-ff1d-46a0-a968-7df06422cc4b	12:58617819−89640811	9, 9	21
68	1	Upper_Left	ef4cbd38-bc79-4d60-a715-647edd2ebe9e	8:42881572−135695930	7, 7	41
68	2	Upper_Right	ef4cbd38-bc79-4d60-a715-647edd2ebe9e	13:19943737−57122359	7, 8	21
68	3	Lower_Left	7c93642d-7e05-40f8-b1ef-a014edcfba42	6:46659231−58507397	10, 16	16
68	4	Lower_Right	dfd30f94-19e3-4838-95df-14a3763419af	21:15698147−47079851	14, 16	16
69	1	Upper_Left	0078b0c4-68a9-483b-9aab-61156d263213	17:7417765−57239409	11, 11	11
69	2	Upper_Right	01a92062-967a-4900-8dc7-a5ecd3b3f8e2	6:5106696−142756791	10, 17	17
69	3	Lower_Left	054f472f-98cb-4559-b2e2-b5f800fc8eef	2:176323−23468097	19, 32	49
69	4	Lower_Right	054f472f-98cb-4559-b2e2-b5f800fc8eef	13:20289812−114141768	9, 9	9
70	1	Upper_Left	0798dbe2-1914-427c-a2fe-2a865d0d6eda	10:5388962−135052041	19, 29	59
70	2	Upper_Right	12824b2b-9c0a-4dcf-8941-34593a4e93da	1:2695318−36867510	13, 20	27
70	3	Lower_Left	12824b2b-9c0a-4dcf-8941-34593a4e93da	7:37590136−58035420	11, 12	18
70	4	Lower_Right	2f4a127f-101a-4192-b3e8-f9be2c8648bc	12:57931744−69260398	7, 8	25
71	1	Upper_Left	309005a2-93a8-4566-b8d3-6b9310144266	16:3345948−59322371	17, 17	17
71	2	Upper_Right	352768f9-3ce1-419c-beef-6515c78f5d7a	4:148584038−166176935	7, 7	7
71	3	Lower_Left	386b629e-fab1-4033-b088-45d6eeb4a13e	15:32981635−50483790	8, 8	8
71	4	Lower_Right	386b629e-fab1-4033-b088-45d6eeb4a13e	22:22445020−51056576	9, 9	9
72	1	Upper_Left	6c28f086-6a25-40b6-93eb-bba0014acda6	7:4042990−157318473	8, 13	109
72	2	Upper_Right	6c5154d2-af36-492f-b520-d925528824e4	4:129768712−190820043	11, 11	11
72	3	Lower_Left	6c5154d2-af36-492f-b520-d925528824e4	7:25188974−57134155	12, 15	207
72	4	Lower_Right	6c5154d2-af36-492f-b520-d925528824e4	19:32306219−58943998	24, 30	114
73	1	Upper_Left	713190ed-c6c1-4695-814b-85ca9b95e6a0	15:40649203−97539849	7, 7	7
73	2	Upper_Right	713190ed-c6c1-4695-814b-85ca9b95e6a0	19:5516134−55780057	19, 37	37
73	3	Lower_Left	737b35e1-d668-4fce-9b6e-76946c7952b6	1:209530581−249214157	51, 51	51
73	4	Lower_Right	737b35e1-d668-4fce-9b6e-76946c7952b6	10:71615252−125378628	14, 14	14
74	1	Upper_Left	74139255-a635-4c87-814d-3dd04ed630a8	4:1163865−190815012	12, 20	90
74	2	Upper_Right	74139255-a635-4c87-814d-3dd04ed630a8	15:34114739−74116044	8, 11	19
74	3	Lower_Left	8da3103e-3e6c-4176-a583-d5fe5e60601e	14:98609565−99894680	10, 10	10
74	4	Lower_Right	93ed7a2b-b0cb-4a84-871f-5c34a0b6a640	11:6033888−105143674	15, 39	39
75	1	Upper_Left	b37d944c-c65c-46d6-bb8b-3eb37cb85b68	15:71116986−102044792	7, 7	7
75	2	Upper_Right	b37d944c-c65c-46d6-bb8b-3eb37cb85b68	X:70334273−87509185	9, 12	12
75	3	Lower_Left	bf339349-062f-4ea9-a0b2-d87d3a21099e	6:155280936−168158297	42, 43	89
75	4	Lower_Right	de7b7cac-f094-4d59-8651-e991e34ea093	7:43019383−45110155	7, 7	13
76	1	Upper_Left	de7b7cac-f094-4d59-8651-e991e34ea093	16:85956549−89924266	8, 11	11
76	2	Upper_Right	e17a6048-7a72-42c0-ad3f-97cbff02bc9f	12:51821337−88808438	7, 19	20
76	3	Lower_Left	f45f4a30-6b4c-4f15-9140-959d6a25a45f	9:19934041−27288375	23, 25	25
76	4	Lower_Right	ICGC_MB110	16:275259−87888760	9, 16	18
77	1	Upper_Left	ICGC_MB131	3:38417904−38895251	13, 13	13
77	2	Upper_Right	ICGC_MB145	17:17334828−78175336	7, 11	16
77	3	Lower_Left	ICGC_MB160	8:41002272−123551081	9, 9	17
77	4	Lower_Right	ICGC_MB165	2:111074−18111365	13, 22	41
78	1	Upper_Left	ICGC_MB165	5:14327−179565981	11, 11	11
